CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
0,8caafaae-5256-48b4-8ae5-58241ed6589c,VALID,Sotilaat,Militärer,Armed forces,Luokan yleiskuvaus:  Tähän kuuluu:  Tähän ei kuulu: ,,,2010-01-01,
01,794ed8e8-50d7-465a-bb2b-c6247cdd36d4,VALID,Upseerit,Officerare,Commissioned armed forces officers,Luokan yleiskuvaus:  Tähän kuuluu:  Tähän ei kuulu: ,,,2010-01-01,
011,45af2ebb-98cb-42ad-bf89-34d81d80af41,VALID,Upseerit,Officerare,Commissioned armed forces officers,"Luokan yleiskuvaus: Puolustusvoimien upseerit johtavat puolustusvoimien organisaatioyksikköjä. Tähän ryhmään sisältyvät kaikki eri aselajeja edustavat henkilöt, joiden sotilasarvo on vänrikki (tai vastaava) tai ylempi. Tähän kuuluu: - 0110 Upseerit Tähän ei kuulu: ",,,2010-01-01,
0110,3edc1482-09c7-4bd2-b0f6-1ff03c6284b0,VALID,Upseerit,Officerare,Commissioned armed forces officers,"Luokan yleiskuvaus: Puolustusvoimien upseerit johtavat puolustusvoimien organisaatioyksikköjä. Tähän ryhmään kuuluvat kaikki eri aselajeja edustavat henkilöt, joiden sotilasarvo on vänrikki (tai vastaava) tai ylempi

Esimerkkejä:
- kenraali
- majuri
- kadettipursimies
- aliluutnantti Tähän kuuluu:  Tähän ei kuulu: - poliisi (ei sotapoliisi) (5412)
- rajavartija (3351)
- tullivartija (3351)",,,2010-01-01,
02,0cabb69e-5b39-4b3c-965d-1c8fc76b8b57,VALID,Aliupseerit,Underofficerare,Non-commissioned armed forces officers,"Luokan yleiskuvaus: Panevat täytäntöön sotilaskuria ja johtavat miehistöön lukeutuvien henkilöiden toimintaa. Tähän ryhmään kuuluvat puolustusvoimissa henkilöt, joilla on aliupseerin arvo kuten kersantti, vääpeli tai sotilasmestarit. Aliupseerin ammateissa työskenteleminen edellyttää useimmiten ISCOn taitotason kaksi valmiuksia.

Puolustusvoimien ja rajavartiolaitoksen siviilityöntekijät luokitellaan ammattiryhmiin 1–9 ammattitaidon ja -alan mukaan. Tähän kuuluu: - 021 Aliupseerit Tähän ei kuulu: ",,,2010-01-01,
021,16d39606-e812-4762-9080-9839b0d6f80b,VALID,Aliupseerit,Underofficerare,Non-commissioned armed forces officers,"Luokan yleiskuvaus: Panevat täytäntöön sotilaskuria ja johtavat miehistöön lukeutuvien henkilöiden toimintaa. Tähän ryhmään kuuluvat puolustusvoimissa henkilöt, joilla on aliupseerin arvo kuten kersantti, vääpeli tai sotilasmestari. Tähän kuuluu: - 0210 Aliupseerit Tähän ei kuulu: ",,,2010-01-01,
0210,b75f9405-1983-4402-9a49-c526d7197263,VALID,Aliupseerit,Underofficerare,Non-commissioned armed forces officers,"Luokan yleiskuvaus: Panevat täytäntöön sotilaskuria ja johtavat miehistöön lukeutuvien henkilöiden toimintaa. Tähän ryhmään kuuluvat puolustusvoimissa henkilöt, joilla on aliupseerin arvo kuten kersantti, vääpeli tai sotilasmestari

Esimerkkejä:
- pursimies
- kersantti
- ylivääpeli Tähän kuuluu:  Tähän ei kuulu: - rajavartija (3351)
- tullivartija (3351)",,,2010-01-01,
03,1e933a47-4b04-456b-b1f4-65b19f29dd96,VALID,Sotilasammattihenkilöstö,Yrkesutbildad personal inom militären,"Armed forces occupations, other ranks","Luokan yleiskuvaus: Puolustusvoimien miehistöön kuuluvat kaikki varusmiehet ja muut puolustusvoimien palveluksessa toimivat sotilashenkilöt lukuun ottamatta upseereja ja aliupseereja.  Puolustusvoimien miehistö tekee sille määritettyjä sotilastehtäviä. Sotilasammattihenkilöstöltä edellytetään vähintään ISCOn taitotason yksi valmiuksia.

Puolustusvoimien ja rajavartiolaitoksen siviilityöntekijät luokitellaan ammattiryhmiin 1–9 ammattitaidon ja -alan mukaan.
 Tähän kuuluu: - 03 Puolustusvoimien miehistö Tähän ei kuulu: ",,,2010-01-01,
031,ec6fd6bf-8075-43cb-8a26-8e8f1e290b6b,VALID,Sotilasammattihenkilöstö,Yrkesutbildad personal inom militären,"Armded forces occupations, other ranks","Luokan yleiskuvaus: Puolustusvoimien miehistöön kuuluvat kaikki varusmiehet ja muut puolustusvoimien palveluksessa toimivat sotilashenkilöt lukuun ottamatta upseereja ja aliupseereja.  Puolustusvoimien miehistö tekee sille määritettyjä sotilastehtäviä.
 Tähän kuuluu: - 0310 Sotilasammattihenkilöstö Tähän ei kuulu: ",,,2010-01-01,
0310,cc7e3193-8a25-4073-8586-1661d2ad832e,VALID,Sotilasammattihenkilöstö,Yrkesutbildad personal inom militären,"Armed forces occupations, other ranks","Luokan yleiskuvaus: Puolustusvoimien miehistöön kuuluvat kaikki varusmiehet ja muut puolustusvoimien palveluksessa toimivat sotilashenkilöt lukuun ottamatta upseereja ja aliupseereja.  Puolustusvoimien miehistö tekee sille määritettyjä sotilastehtäviä.

Esimerkkejä:
- varusmies
- korpraali
- ylimatruusi
- jääkäri
- viestimies
 Tähän kuuluu:  Tähän ei kuulu: - poliisi (ei sotapoliisi) (5412)
- rajavartija (3351)
- tullivartija (3351)
- keittäjä (51201)",,,2010-01-01,
