CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
01,b3142c3f-c02f-4535-b7e1-769c6fe29902,VALID,Maatalous- ja riistataloustuotteet sekä niihin liittyvät palvelut,Jordbruks- och jaktprodukter och tjänster i anslutning härtill,"Products of agriculture, hunting and related services	",,,2015-01-01,
01.1,87ca6abd-48d6-44c6-907a-8150a092cc39,VALID,Yksivuotiset viljelykasvit,Ett- och tvååriga växter,Non-perennial crops	,,,2015-01-01,
01.11,d071417d-bef9-46a0-9079-00b2f97294d9,VALID,"Viljakasvit (pl. riisi), palkokasvit ja öljysiemenet","Spannmål (utom ris), baljväxter och oljeväxter","Cereals (except rice), leguminous crops and oil seeds	",,,2015-01-01,
01.11.1,43b64d19-3f51-423b-9630-d4f682841150,VALID,Vehnä,Vete,Wheat	,,,2015-01-01,
01.11.11,51d7b315-3248-421e-a6d9-1f433c76da92,VALID,Durumvehnä,Durumvete,Durum wheat	,,,2015-01-01,
01.11.12,c10856fb-584e-4b8d-892f-e0b9d7a0331b,VALID,Vehnä (pl. durumvehnä),"Vete, utom durumvete","Wheat, except durum wheat	",,,2015-01-01,
01.11.2,2260fd4d-abd0-4ab2-bb98-2e25c78568c4,VALID,Maissi,Majs,Maize	,,,2015-01-01,
01.11.20,2d1e443b-6d61-46b3-8b81-f3cf99b2453e,VALID,Maissi,Majs,Maize	,,,2015-01-01,
01.11.3,b1d61a08-f8ea-45c8-a3bc-16c5bd26cc85,VALID,"Ohra, ruis ja kaura","Korn, råg och havre","Barley, rye and oats	",,,2015-01-01,
01.11.31,78908c15-aed2-475e-b1b0-eec15904cd18,VALID,Ohra,Korn,Barley	,,,2015-01-01,
01.11.32,dc5e8235-2bee-4a5b-80ac-175477d88a97,VALID,Ruis,Råg,Rye	,,,2015-01-01,
01.11.33,c328723d-6389-472b-b475-93ac4395aab6,VALID,Kaura,Havre,Oats	,,,2015-01-01,
01.11.4,77c532cf-7e13-461e-ba8b-05b3ff3c3f4b,VALID,"Durra, hirssi ja muut viljat","Durra, hirs och annan spannmål","Sorghum, millet and other cereals	",,,2015-01-01,
01.11.41,d815d7a1-420e-4a4d-b0a9-7331e25a0bd4,VALID,Durra,Durra,Sorghum	,,,2015-01-01,
01.11.42,ca5d09d8-628f-459e-b8b9-007a6cdf66b3,VALID,Hirssi,Hirs,Millet	,,,2015-01-01,
01.11.43,ddb1b439-b93e-4d3e-a962-09503d28ea2c,VALID,Ruisvehnä,Triticale (rågvete),Triticale	,,,2015-01-01,
01.11.49,b9bf1af4-e1d1-448c-955c-91657de601ae,VALID,Muut viljat,Annan spannmål,Other cereals	,,,2015-01-01,
01.11.5,c7292c98-41d8-44ee-9eb7-120a40341118,VALID,Viljakasvien oljet ja akanat,"Halm, agnar och skal av spannmål",Cereals straw and husks	,,,2015-01-01,
01.11.50,80ef29c5-eecf-4b5a-b511-812bcb8a66d9,VALID,Viljakasvien oljet ja akanat,"Halm, agnar och skal av spannmål",Cereals straw and husks	,,,2015-01-01,
01.11.6,dc5da7c0-e52b-4898-b59d-a670f8997e17,VALID,Vihreä palkovilja,Gröna baljväxter,Green leguminous vegetables	,,,2015-01-01,
01.11.61,b366bcf5-e23f-4a02-8b11-a0b8ce4cf284,VALID,"Pavut, vihreät",Gröna bönor,"Beans, green	",,,2015-01-01,
01.11.62,777d455a-99bb-47e7-be2b-e77de5939ef0,VALID,"Herneet, vihreät",Gröna ärter,"Peas, green	",,,2015-01-01,
01.11.69,48a96144-7735-49f6-9d12-63bafc1bfdae,VALID,Muu vihreä palkovilja,Andra gröna baljväxter,Other green leguminous vegetables	,,,2015-01-01,
01.11.7,f9daf3bf-6206-405b-a30a-5f4b6be160d5,VALID,Kuivattu palkovilja,Trindsäd,Dried leguminous vegetables	,,,2015-01-01,
01.11.71,d77b44e5-9764-4b1e-bb10-48bb08d88c50,VALID,"Pavut, kuivatut","Bönor, torkade","Beans, dry	",,,2015-01-01,
01.11.72,b5736bc4-8a1e-4b17-8857-fd2ee992607a,VALID,"Härkäpavut, kuivatut","Bondbönor, torkade","Broad beans, dry	",,,2015-01-01,
01.11.73,f06010ed-3d56-4c0e-91fd-055cee0efca3,VALID,"Kahviherneet, kuivatut","Kikärter, torkade","Chick peas, dry	",,,2015-01-01,
01.11.74,dd20af8a-545c-430a-85b8-72ec6fa98bba,VALID,"Linssit, kuivatut","Linser, torkade","Lentils, dry	",,,2015-01-01,
01.11.75,791a2ab2-59aa-427c-bdae-bbafd678b465,VALID,"Herneet, kuivatut","Ärter, torkade","Peas, dry	",,,2015-01-01,
01.11.76,d5ee680d-0427-4305-8aa8-98753c818759,VALID,Lehmänpavut,Vignabönor,Cow peas	,,,2015-01-01,
01.11.77,1371646b-ff9c-4709-8612-3645092059e6,VALID,"Kyyhkynherneet, kuivatut","Duvärter, torkade","Pigeon peas, dry	",,,2015-01-01,
01.11.79,fee4d31a-ecd8-4fbd-a51f-afc9dd248eee,VALID,"Kuivatut palkokasvit, muualle luokittelemattomat",Övrig trindsäd,Pulses (dried leguminous vegetables) n.e.c.	,,,2015-01-01,
01.11.8,c18f6795-a22e-4eb6-9e91-89e7cbe500b0,VALID,Soijapavut ja maapähkinät,Sojabönor och jordnötter,Soya beans and groundnuts	,,,2015-01-01,
01.11.81,63d1445a-8a27-45f6-9632-37fc3d4826ae,VALID,Soijapavut,Sojabönor,Soya beans	,,,2015-01-01,
01.11.82,49fa9611-cf0c-4662-bfac-3cf3ad893d0f,VALID,"Maapähkinät, kuorelliset",Jordnötter med skal,"Groundnuts, in shell	",,,2015-01-01,
01.11.9,cf089353-6b78-4f79-9fbd-6de26856d711,VALID,Muut öljysiemenet,Andra oljeväxtfrön,Other oil seeds	,,,2015-01-01,
01.11.91,35ec3736-f035-4ea3-bf89-07e545cf7107,VALID,Pellavansiemenet,Linfrö,Lin seed	,,,2015-01-01,
01.11.92,134e470f-95d3-4a68-b26d-6bb3a2d41174,VALID,Sinapinsiemenet,Senapsfrö,Mustard seed	,,,2015-01-01,
01.11.93,0a90f438-a3e4-46c6-82a6-642c6ecccd88,VALID,Rapsin- tai rypsinsiemenet,Raps- eller rybsfrö,Rape or colza seed	,,,2015-01-01,
01.11.94,e6f5e8af-10a8-4bb9-94fa-d1179a9341da,VALID,Seesaminsiemenet,Sesamfrö,Sesame seed	,,,2015-01-01,
01.11.95,499d59a5-9133-408f-b4ee-7c31de5d67a6,VALID,Auringonkukansiemenet,Solrosfrö,Sunflower seed	,,,2015-01-01,
