CODEVALUE,ID,STATUS,PREFLABEL_FI,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
00,05bb5c67-4edc-45f1-98b9-b83d81b25929,VALID,Generic programmes and qualifications,,,2011-01-01,
001,338c4e0c-47f2-4f8e-becf-3acdb74f0363,VALID,Basic programmes and qualifications,,,2011-01-01,
0011,271f6a47-6be0-49c4-821e-63925c4ec6a5,VALID,Basic programmes and qualifications,,,2011-01-01,
01,0e9fef91-46c3-404b-bd7a-4f510f161603,VALID,Education,,,2011-01-01,
011,d53ce088-8a8d-4b28-a257-a34cfa2f1a00,VALID,Education,,,2011-01-01,
0110,5896d0dc-9c8a-460c-80a9-c5ee7125c3c8,VALID,Broad programmes and qualifications involving education,,,2011-01-01,
0111,197d6244-c3ef-4123-99f9-cf3609e22cfe,VALID,Education science,,,2011-01-01,
0112,a620bd4f-1e0d-4334-a1a3-9cc2f2008ba8,VALID,Training for pre-school teachers,,,2011-01-01,
0113,9d149831-ccc3-4e1f-b32b-c28ad7e38d3c,VALID,Teacher training without subject specialization,,,2011-01-01,
0114,f1debc08-27a4-464e-b50e-dc485397ab8a,VALID,Teacher training with subject specialization,,,2011-01-01,
0118,a3c1da8e-c917-4253-977d-ec8a7e8bceeb,VALID,Inter-disciplinary programmes and qualifications involving education,,,2011-01-01,
02,c5145184-3e10-440e-b659-2f980d5dfa07,VALID,Arts and humanities,,,2011-01-01,
020,fd200568-9389-4f28-882e-e3ff80870456,VALID,Broad programmes and qualifications involving arts and humanities,,,2011-01-01,
0200,44bff0ff-1764-4ca8-9357-e58f7a462f85,VALID,Broad programmes and qualifications involving arts and humanities,,,2011-01-01,
021,bec811f6-22c1-4237-8988-68cd730b3f7e,VALID,Arts,,,2011-01-01,
0210,745265e1-d1b6-4a4e-a4ae-a2ab471a84e6,VALID,Broad programmes and qualifications involving arts and humanities,,,2011-01-01,
0211,6c8c030b-f12e-4d23-8404-ed3062c21cc8,VALID,Audio-visual techniques and media production,,,2011-01-01,
0212,d0098804-0f11-41cb-9bd2-2cd91831909f,VALID,"Fashion, interior and industrial design",,,2011-01-01,
0213,4373debe-294d-46ed-aff8-f3cdab3ff88e,VALID,Fine arts,,,2011-01-01,
0214,52f925e6-48cc-4821-b392-8aa8f8e25bfe,VALID,Handicrafts,,,2011-01-01,
0215,22f7f967-4bfd-4588-9b06-4d72f65e7254,VALID,Music and performing arts,,,2011-01-01,
0218,d4017ec9-b660-46d1-bda0-8b91775911e4,VALID,Inter-disciplinary programmes and qualifications involving education,,,2011-01-01,
022,e987dd8f-517a-44a1-b978-75dcbcc21f4a,VALID,Humanities (except languages),,,2011-01-01,
0220,70fd611b-481b-4ec8-b1dd-912599358e8c,VALID,Broad programmes and qualifications involving humanities (except languages),,,2011-01-01,
0221,5f3e9ba8-0777-47a2-ac49-22c467aee9a9,VALID,Religion and theology,,,2011-01-01,
0222,6552ed35-8aeb-449c-833e-ae0eef557a63,VALID,History and archaeology,,,2011-01-01,
0223,7dcf2dfa-e2f2-4417-b9a4-7601fe518327,VALID,Philosophy and ethics,,,2011-01-01,
023,7937535e-5c72-4ea4-8f59-4a4f2089465a,VALID,Languages,,,2011-01-01,
0231,62fa403f-922d-424a-a135-e01b9512fe13,VALID,Language acquisition,,,2011-01-01,
0232,59f418f4-0501-44ed-896a-7c3e096a2e3b,VALID,Literature and linguistics,,,2011-01-01,
03,1c8f53bf-f469-4b19-80e5-cdd8b431b3fa,VALID,"Social sciences, journalism and information",,,2011-01-01,
031,a7790e20-4961-47ad-a106-8670d7f8ea98,VALID,Social and behavioural sciences,,,2011-01-01,
0310,2dd5e83d-d123-4f26-871f-e49749d8ff86,VALID,Broad programmes and qualifications involving social and behavioural sciences,,,2011-01-01,
0311,34172c01-f41e-47c5-8033-65e34fde7dc2,VALID,Economics,,,2011-01-01,
0312,45a0e22e-4ee7-4a7f-bc32-982102a2fa40,VALID,Political sciences and civics,,,2011-01-01,
0313,7bfff167-6a5d-4d03-8d7e-cb7a92574a7f,VALID,Psychology,,,2011-01-01,
0314,f699e74e-bb5a-41cb-b6dd-93db20175490,VALID,Sociology and cultural studies,,,2011-01-01,
0318,59e2c876-2139-420c-8c09-408b146709b5,VALID,Inter-disciplinary programmes and qualifications involving social and behavioural sciences,,,2011-01-01,
032,d744c028-e860-4880-98f6-bac18ed66c7a,VALID,Journalism and information,,,2011-01-01,
0321,553a6b19-f483-4f86-9934-e8b13ee89194,VALID,Journalism and reporting,,,2011-01-01,
0322,d5cd52af-cc6e-4757-bf0c-0f55c46ff0de,VALID,"Library, information and archival studies",,,2011-01-01,
04,205b4af9-0734-4789-80f1-c5d1a792defb,VALID,"Business, administration and law",,,2011-01-01,
041,63907d5a-92e2-43e8-b36f-f56fd8e3bc1e,VALID,Business and administration,,,2011-01-01,
0410,95031fbd-ff44-4e6f-8542-690b84ac2a83,VALID,Broad programmes and qualifications involving business and administration,,,2011-01-01,
0411,62c4ea68-0166-44d1-94b3-a950717a650d,VALID,Accounting and taxation,,,2011-01-01,
0412,021022e3-b146-4c61-b9ed-84e37521777d,VALID,"Finance, banking and insurance",,,2011-01-01,
0413,c2ad80df-9c16-45fa-9caa-094a78ba5c2c,VALID,Management and administration,,,2011-01-01,
0414,86fddc7d-0ec5-46a6-9f90-2d1ea0ef16bd,VALID,Marketing and advertising,,,2011-01-01,
0415,4c3904c8-9175-41e8-b300-f67b98546e85,VALID,Secretarial and office work,,,2011-01-01,
0416,f51a8001-332d-4c93-8b68-504ecc5e7e86,VALID,Wholesale and retail sales,,,2011-01-01,
0418,d9054637-38b9-4d6c-a00f-228e0041cf28,VALID,Inter-disciplinary programmes and qualifications involving business and administration,,,2011-01-01,
042,a74407f0-8a54-4eb2-a453-7706de8b9c6f,VALID,Law,,,2011-01-01,
0421,9fc0679c-9289-4e46-ac45-80452397416f,VALID,Law,,,2011-01-01,
05,a3711cdf-039e-443a-8a03-037ccf6b18f2,VALID,"Natural sciences, mathematics and statistics",,,2011-01-01,
050,82724139-ce1b-47d0-9efd-db199e05d3f7,VALID,"Broad programmes and qualifications involving natural sciences, mathematics and statistics",,,2011-01-01,
0500,cf7aa753-4bb3-451f-b1d4-2dd6acfd3515,VALID,"Broad programmes and qualifications involving natural sciences, mathematics and statistics",,,2011-01-01,
051,bb4195fb-34f8-41d7-847d-bfde98e68abf,VALID,Biological and related sciences,,,2011-01-01,
0511,e747cf95-4f73-48fa-8c41-cebef80d7006,VALID,Biology,,,2011-01-01,
0512,1c0729a8-7d75-4046-86ef-2e72fedc055a,VALID,Biochemistry,,,2011-01-01,
052,0ebb9d52-cdef-4be8-9a0a-c7883f9eed10,VALID,Environment,,,2011-01-01,
0521,efb9dbac-c710-4c91-834d-79f81ea6eff3,VALID,Environmental sciences,,,2011-01-01,
0522,9b0f8d9b-1d4b-4a2a-9a2a-e8fd89d81c64,VALID,Natural environments and wildlife,,,2011-01-01,
0528,667081ad-8d7b-4f9e-8e9b-618285c2f123,VALID,Inter-disciplinary programmes and qualifications involving enviroment,,,2011-01-01,
053,a73b4800-028e-48c9-a394-b7bdc7040096,VALID,Physical sciences,,,2011-01-01,
0531,a1c66d2d-8320-4dd3-b668-9d1e1d79e1b1,VALID,Chemistry,,,2011-01-01,
0532,39b49056-57a9-47d2-87e2-ccf4a91ea048,VALID,Earth sciences,,,2011-01-01,
0533,ad74be65-bbcb-4dcb-b935-727ed1e37b46,VALID,Physics,,,2011-01-01,
054,37e20f78-d449-4662-866b-ed238a906240,VALID,Mathematics and statistics,,,2011-01-01,
0541,37c06648-eb08-4059-83d1-1641f6744af0,VALID,Mathematics,,,2011-01-01,
0542,f368939f-cf09-4b3f-8b5f-92112afad371,VALID,Statistics,,,2011-01-01,
06,b1b4cee9-a995-4167-ae48-2d658e02c530,VALID,Information and Communication Technologies (ICTs,,,2011-01-01,
061,c3389eed-433f-41d3-a1d3-a8b52d267b33,VALID,Information and Communication Technologies (ICTs,,,2011-01-01,
0618,644f7a7a-0b2e-43f6-85c9-e56464ae0121,VALID,Inter-disciplinary programmes and qualifications involving information and communication technologies (ICTs),,,2011-01-01,
07,8beb2358-8d55-4ab1-a586-390fd9715c24,VALID,"Engineering, manufacturing and construction",,,2011-01-01,
071,f6cf8ae8-cd4a-42ce-8a95-f1186d39fd75,VALID,Engineering and engineering trades,,,2011-01-01,
0710,9363dcc7-5337-4ccf-bdd1-1520fff3f30b,VALID,Broad programmes and qualifications involving engineering and engineering trades,,,2011-01-01,
0711,ee90db73-b68f-450a-b29e-d2e133cbc821,VALID,Chemical engineering and processes,,,2011-01-01,
0712,f4114633-3169-4ba1-a2c6-5dcd62998fdd,VALID,Environmental protection technology,,,2011-01-01,
0713,4f0bd0db-1605-4500-a6f9-226226306b93,VALID,Electricity and energy,,,2011-01-01,
0714,ca53eeba-10e8-4da2-b331-6d162f7ee6a0,VALID,Electronics and automation,,,2011-01-01,
0715,4381c947-b543-4724-882c-d5dd8b6653a0,VALID,Mechanics and metal trades,,,2011-01-01,
0716,d3c30d29-2fcb-43d9-8bce-2fd15d65ddc4,VALID,"Motor vehicles, ships and aircraft",,,2011-01-01,
0718,e9e74a04-2947-44e1-851d-3131d7e8e955,VALID,Inter-disciplinary programmes and qualifications involving engineering and engineering trades,,,2011-01-01,
072,96e38f5a-ff2f-4350-98ca-68f27e5e42f5,VALID,Manufacturing and processing,,,2011-01-01,
0721,2445c72a-d96b-4aa4-975e-7642cbbbd35b,VALID,Food processing,,,2011-01-01,
0722,c5ea4f6b-175b-4add-a7fa-57207415e3f6,VALID,"Materials (glass, paper, plastic and wood)",,,2011-01-01,
0723,c6329df8-a30d-4a5c-9573-8eaffe44cfc9,VALID,"Textiles (clothes, footwear and leather)",,,2011-01-01,
0724,914dd3b3-a93f-40c5-9672-b5744cb19f3a,VALID,Mining and extraction,,,2011-01-01,
0728,ba8706d7-cea8-4a4d-8b69-bcacf9db0192,VALID,Inter-disciplinary programmes and qualifications involving manufacturing and processing,,,2011-01-01,
073,422c50fd-c43c-4e7c-9bab-4e2b7f9a6682,VALID,Architecture and construction,,,2011-01-01,
0731,163d81ab-e2bd-40eb-8e39-9290584ed064,VALID,Architecture and town planning,,,2011-01-01,
0732,8cb9e803-cd49-4040-9d4f-4d6e94761123,VALID,Building and civil engineering,,,2011-01-01,
08,ba44b686-6baf-4d51-9a70-d288f5efee0d,VALID,"Agriculture, forestry, fisheries and veterinary",,,2011-01-01,
080,1afe08ef-e19c-4229-a6c8-aebb5236038c,VALID,"Broad programmes and qualifications involving agriculture, forestry,fisheries and vetrinary",,,2011-01-01,
0800,c49e8f0e-68a0-4b4a-bfb3-f1671aba1863,VALID,"Broad programmes and qualifications involving agriculture, forestry,fisheries and vetrinary",,,2011-01-01,
081,4d464c28-18f3-463e-b14b-e2ac79ce67c0,VALID,Agriculture,,,2011-01-01,
0811,5397e906-e78f-4625-94f4-e9aee77c9f78,VALID,Crop and livestock production,,,2011-01-01,
0812,77cc6fe1-9aa6-4cfc-9c3c-4a8d03e8d7c4,VALID,Horticulture,,,2011-01-01,
0818,6fa6fef3-d1ef-4479-822d-21d6a6103784,VALID,Inter-disciplinary programmes and qualifications involving agruculture,,,2011-01-01,
082,bbbf462b-93c6-4246-8e85-a7f2eff85e06,VALID,Forestry,,,2011-01-01,
0820,2b0c342e-9d2d-4e9b-bf40-633d53630975,VALID,Broad programmes and qualifications involving forestry,,,2011-01-01,
0821,b6e4d192-d066-4ec3-9e2d-f22cc1134246,VALID,Forestry,,,2011-01-01,
0828,a85b5a89-7af4-4b14-b81c-bb6def8aeb41,VALID,Inter-disciplinary programmes and qualifications involving forestry,,,2011-01-01,
083,87204a86-20b1-4084-a68e-66db8100da51,VALID,Fisheries,,,2011-01-01,
0831,ccec11f7-a98f-4587-9e2b-76cd2d7be66b,VALID,Fisheries,,,2011-01-01,
084,2c00af8d-cc04-4817-a604-73e37e5426e5,VALID,Veterinary,,,2011-01-01,
0841,6939594c-cd62-467d-b9f7-382471e62b08,VALID,Veterinary,,,2011-01-01,
09,b4a2afc4-3ee1-4cbb-a41d-ed70dbd6beaf,VALID,Health and welfare,,,2011-01-01,
090,afce5c80-3686-4a3a-aad8-62716fef9964,VALID,Broad programmes and qualifications involving health and welfare,,,2011-01-01,
0900,1bbf7952-a994-4831-96f7-37f4b9c0da5d,VALID,Broad programmes and qualifications involving health and welfare,,,2011-01-01,
091,0fd8d1d7-8cba-4f68-9d01-acff571ea043,VALID,Health,,,2011-01-01,
0911,931f482b-6c35-4d30-b2f0-ff57a9222225,VALID,Dental studies,,,2011-01-01,
0912,779b5aaf-a420-4325-8037-e0a4d382228f,VALID,Medicine,,,2011-01-01,
0913,1859045c-b526-452f-8dcc-306438ff8982,VALID,Nursing and midwifery,,,2011-01-01,
0914,4cbc99dd-ef8a-4ebe-9b6b-090ae88bd9cc,VALID,Medical diagnostic and treatment technology,,,2011-01-01,
0915,ea4be4de-762f-46d5-a9f5-b9795b298099,VALID,Therapy and rehabilitation,,,2011-01-01,
0916,927cb804-cd58-4e6c-b2a0-d21f1bdd29f4,VALID,Pharmacy,,,2011-01-01,
0918,73592ef3-d7b5-4c89-8864-cc9923e82dd7,VALID,Inter-disciplinary programmes and qualifications involving health,,,2011-01-01,
092,c4f3c60f-934c-40b1-b48e-ce28f4dcb5ce,VALID,Welfare,,,2011-01-01,
0920,b8acf392-6342-4a4a-950f-af5941c86c3d,VALID,Broad programmes and qualifications involving welfare,,,2011-01-01,
0921,eaf59863-3450-46ea-83da-b7d3f3b29474,VALID,Care of the elderly and of disabled adults,,,2011-01-01,
0922,510cabc2-60e8-483c-b6d0-61881a368e38,VALID,Child care and youth services,,,2011-01-01,
0923,82092503-f3a4-4fb9-b054-dadab3abb6f5,VALID,Social work and counselling,,,2011-01-01,
0928,214385af-e717-46ff-9ac2-f1cbdc2a1ade,VALID,Inter-disciplinary programmes and qualifications involving welfare,,,2011-01-01,
10,5259a0f8-90ee-45b4-919b-33e029a0f4ac,VALID,Services,,,2011-01-01,
100,06b8b621-b77f-4a68-9bac-8b2a377de938,VALID,Broad programmes and qualifications involving services,,,2011-01-01,
1000,06bd7008-baf3-4f82-9945-10be4ba37925,VALID,Broad programmes and qualifications involving services,,,2011-01-01,
101,54d1bc74-82ae-4b27-8f14-85a03009670c,VALID,Personal services,,,2011-01-01,
1010,5df3a5a7-5a47-4d55-856e-207b0788659c,VALID,Broad programmes and qualifications involving personal services,,,2011-01-01,
1011,23197943-273d-428d-9ac5-7cd189fd3c2b,VALID,Domestic services,,,2011-01-01,
1012,0c1d9bba-6990-4714-85b5-b02902d6ba44,VALID,Hair and beauty services,,,2011-01-01,
1013,cd730166-e4fc-482f-85b4-683aeb7e2d4c,VALID,"Hotel, restaurants and catering",,,2011-01-01,
1014,7c5a42bc-7277-4ea8-830d-e2f95f3dcbb8,VALID,Sports,,,2011-01-01,
1015,3088f0e6-fc12-4a4c-ae91-a07a34af5a7a,VALID,"Travel, tourism and leisure",,,2011-01-01,
1018,157843d2-073d-49b4-acbf-04f6ceb6b3b3,VALID,Inter-disciplinary programmes and qualifications involving personal services,,,2011-01-01,
103,3d03cb9f-09d4-46ed-b1d7-bf9cc7a24e0e,VALID,Security services,,,2011-01-01,
1030,b7d842c8-a1c4-4da4-b6db-d14fc6d67228,VALID,Broad programmes and qualifications involving security services,,,2011-01-01,
1031,c8474785-dc5e-43df-a8b0-e7a3bd5eb3ce,VALID,Military and defence,,,2011-01-01,
1032,4ab839cc-b8ed-48ec-aa7d-d674b7e2885f,VALID,Protection of persons and property,,,2011-01-01,
104,88c0107e-de9c-4356-a52c-6baf3a0e5f2e,VALID,Transport services,,,2011-01-01,
1041,503fd520-48e7-4be2-adfe-2e4ecbde3ac5,VALID,Transport services,,,2011-01-01,
1048,6378c016-c462-473b-8953-b5729ddb355e,VALID,Inter-disciplinary programmes and qualifications involving transport services,,,2011-01-01,
99,4fc879f9-7e63-487f-bb07-6714fadef86a,VALID,Unknown,,,2011-01-01,
999,8e402b88-b254-4c5a-b2e9-a21d34103c37,VALID,Unknown,,,2011-01-01,
