CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
00,ba96ac8e-2b5e-4ac8-b035-80c411748bda,VALID,Yleissivistävä koulutus,Allmänbildande utbildning,Generic programmes and qualifications,,,2016-01-01,
001,169e9f00-4f32-40c9-a720-873140981596,VALID,Yleissivistävä koulutus,Allmänbildande utbildning,Basic programmes and qualifications,,,2016-01-01,
0011,17f6d72d-810f-40ea-bb11-d8ce48c14ea0,VALID,Yleissivistävä koulutus,Allmänbildande utbildning,Basic programmes and qualifications,,,2016-01-01,
01,8b9f6e00-077b-406e-844a-3974da4d5107,VALID,Kasvatusalat,De pedagogiska områdena,Education,,,2016-01-01,
011,6820df2d-c9b8-49a3-8875-33a2ec3c3828,VALID,Kasvatusalat,De pedagogiska områdena,Education,,,2016-01-01,
0110,8d73422f-8b59-4562-aa9a-59b3ab48557d,VALID,"Kasvatusalat, yleiset koulutusohjelmat","De pedagogiska områdena, allmänna utbildningsprogram",Broad programmes and qualifications involving education,,,2016-01-01,
0111,b7198ac5-38aa-4d86-92f7-297cd46b8f1e,VALID,Kasvatustieteet,Pedagogik,Education science,,,2016-01-01,
0112,36dc1af1-67bc-4f69-9f7b-c9ab96f8f24b,VALID,Varhaiskasvatuksen opettajien koulutus,Lärarutbildning för småbarnspedagogik,Training for pre-school teachers,,,2016-01-01,
0113,5448d8d8-baad-4720-8778-d2454783af17,VALID,Luokanopettajien koulutus,Klasslärarutbildning,Teacher training without subject specialization,,,2016-01-01,
0114,4b4d5a5a-6253-43be-8430-070624aa032b,VALID,Aineenopettajien koulutus,Ämneslärarutbildning,Teacher training with subject specialization,,,2016-01-01,
0118,91bcb9e9-e88f-4ce0-8358-f5ab18228620,VALID,"Kasvatusalat, monialaiset koulutusohjelmat","De pedagogiska områdena, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving education,,,2016-01-01,
02,0a5bdeff-2434-4b76-a7c5-86f16b7609e9,VALID,Humanistiset ja taidealat,De humanistiska och konstnärliga områdena,Arts and humanities,,,2016-01-01,
020,dd5b3fb3-618a-4edd-9c90-af2bfdff7aa6,VALID,"Humanistiset ja taidealat, yleiset koulutusohjelmat","De humanistiska och konstnärliga områdena, allmänna utbildningsprogram",Broad programmes and qualifications involving arts and humanities,,,2016-01-01,
0200,53ce8a51-1a69-4cbe-9316-5a8784eacf81,VALID,"Humanistiset ja taidealat, yleiset koulutusohjelmat","De humanistiska och konstnärliga områdena, allmänna utbildningsprogram",Broad programmes and qualifications involving arts and humanities,,,2016-01-01,
021,b4bf90cc-75a2-425c-9e5a-03b7e8366606,VALID,Taidealat,De konstnärliga områdena,Arts,,,2016-01-01,
0210,c424b43b-bc0f-488d-a093-67a2ba6e4142,VALID,"Taidealat, yleiset koulutusohjelmat","De konstnärliga områdena, allmänna utbildningsprogram",Broad programmes and qualifications involving arts,,,2016-01-01,
0211,f2d418a2-509f-440b-8964-364913ee72a0,VALID,Audiovisuaaliset tekniikat ja media,Audiovisuell teknik och media,Audio-visual techniques and media production,,,2016-01-01,
0212,68ad2536-cb32-45b8-835d-8c2f1342e969,VALID,"Muoti, sisustussunnittelu ja teollinen muotoilu","Mode, inredningsplanering och industriell formgivning","Fashion, interior and industrial design",,,2016-01-01,
0213,90e72b65-9e7c-4d7f-9e2b-6a902381bc76,VALID,Kuvataiteet,Bildkonst,Fine arts,,,2016-01-01,
0214,ba2c1142-beed-496a-bcad-818f52619892,VALID,Käsityöalat,Konsthantverk,Handicrafts,,,2016-01-01,
0215,a438d233-d310-414e-b7be-0957f6914c68,VALID,Musiikki ja esittävät taiteet,Musik och scenkonst,Music and performing arts,,,2016-01-01,
0218,7df7b5eb-b18a-4e4e-9811-8af749f3fb8d,VALID,"Taidealat, monialaiset koulutusohjelmat","De konstnärliga områdena, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving arts,,,2016-01-01,
022,32c4ea01-3c7c-4f98-a383-5959c70b88c1,VALID,Humanistiset alat (paitsi kielet),De humanistiska områdena (exkl. språk),Humanities (except languages),,,2016-01-01,
0220,b7075348-fe2d-4289-98c5-84c3d0a91766,VALID,Humanistiset alat (paitsi kielet),De humanistiska områdena (exkl. språk),Broad programmes and qualifications involving humanities (except languages),,,2016-01-01,
0221,868e711b-a7c4-4251-9a31-92d0d9304c2e,VALID,Uskonto ja teologia,Religion och teologi,Religion and theology,,,2016-01-01,
0222,a9e97679-5b82-4afe-ac73-fa66266f53ab,VALID,Historia ja arkeologia,Historia och arkeologi,History and archaeology,,,2016-01-01,
0223,b562974e-9a07-40e5-84af-c5b0480c6a91,VALID,Filosofia ja etiikka,Filosofi och etik,Philosophy and ethics,,,2016-01-01,
023,8efb8877-b048-4e6e-8092-1efbf4856a25,VALID,Kielet,Språk,Languages,,,2016-01-01,
0231,34346c09-dbd8-4cec-bb35-fbba5e72aa2f,VALID,Kielten opiskelu,Språkstudier,Language acquisition,,,2016-01-01,
0232,86919ef2-8c43-4dda-ac5a-cdd7eb249ff0,VALID,Kirjallisuus ja kielitiede,Litteratur och språkvetenskap,Literature and linguistics,,,2016-01-01,
03,7a1db0b3-d159-439c-9b48-6bd952d82037,VALID,Yhteiskunnalliset alat,De samhällsvetenskapliga områdena,"Social sciences, journalism and information",,,2016-01-01,
031,8bc24281-521f-4f74-bc0a-91ee1d60adaa,VALID,Yhteiskuntatieteet,Samhällsvetenskaper,Social and behavioural sciences,,,2016-01-01,
0310,c77bfaf1-3d2f-463f-9198-b0b766ccce16,VALID,"Sosiaali- ja käyttäytymistieteet, yleiset koulutusohjelmat","Social- och beteendevetenskaper, allmänna utbildningsprogram",Broad programmes and qualifications involving social and behavioural sciences,,,2016-01-01,
0311,1f5689f2-229e-4773-b4b2-1d7d2cb4ba32,VALID,Kansantaloustiede,Nationalekonomi,Economics,,,2016-01-01,
0312,312fec10-fdcd-4e23-bc60-a19748bbde0d,VALID,Valtiotieteet,Statsvetenskaper,Political sciences and civics,,,2016-01-01,
0313,67c005a0-f72b-46be-bbfa-40973691fe7a,VALID,Psykologia,Psykologi,Psychology,,,2016-01-01,
0314,5634ae89-a4ef-4dfe-9b59-62eed08be480,VALID,Sosiaalitieteet,Socialvetenskaper,Sociology and cultural studies,,,2016-01-01,
0318,22aa273b-6082-448b-a2e9-40e103f6739f,VALID,"Sosiaali- ja käyttäytymistieteet, monialaiset koulutusohjelmat","Social- och beteendevetenskaper, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving social and behavioural sciences,,,2016-01-01,
032,4d2eef82-8644-4f4f-8336-049ac9527b80,VALID,Viestintä ja informaatiotieteet,Journalistik och information,Journalism and information,,,2016-01-01,
0321,59f6837c-a814-448c-9282-5e235902835e,VALID,Viestintätieteet,Mediavetenskap,Journalism and reporting,,,2016-01-01,
0322,c3f2177d-bc50-40b7-a405-cd4aa578e962,VALID,Kirjasto- ja informaatiotieteet,Biblioteks- och informationsvetenskap,"Library, information and archival studies",,,2016-01-01,
04,57f13b69-8624-4996-beb4-86668e34c61f,VALID,"Kauppa, hallinto ja oikeustieteet","Handel, administration och juridik","Business, administration and law",,,2016-01-01,
041,67f83927-075e-49c4-b0b7-13ab5d7f3dc6,VALID,Kauppa ja hallinto,Handel och administration,Business and administration,,,2016-01-01,
0410,f04cede7-6b75-4114-98bf-6b0ba21f7103,VALID,"Kauppa ja hallinto, yleiset koulutusohjelmat","Handel och administration, allmänna utbildningsprogram",Broad programmes and qualifications involving business and administration,,,2016-01-01,
0411,eb145f95-b7c9-464a-9e69-c16ebb3672e1,VALID,Kirjanpito ja verotus,Redovisning och beskattning,Accounting and taxation,,,2016-01-01,
0412,a6af1e7f-4ea3-4822-943c-5b9a609b4f94,VALID,"Rahoitus-, pankki- ja vakuutusala","Finansierings-, bank- och försäkringsområdet","Finance, banking and insurance",,,2016-01-01,
