CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
005,a8af5992-e451-4e5f-b0e2-175dceb67721,VALID,Alajärvi,Alajärvi,Alajärvi,,,2018-01-01,2018-12-31
009,519fa59c-6335-48e7-abff-f5aabf2f96ad,VALID,Alavieska,Alavieska,Alavieska,,,2018-01-01,2018-12-31
010,4f819e72-7069-497f-b47e-9fb49542e019,VALID,Alavus,Alavus,Alavus,,,2018-01-01,2018-12-31
016,2a5bffd6-d6d1-43fa-9ca1-afa39aad411a,VALID,Asikkala,Asikkala,Asikkala,,,2018-01-01,2018-12-31
018,a251e194-94a5-4135-9002-c125d63e6aa0,VALID,Askola,Askola,Askola,,,2018-01-01,2018-12-31
019,364712bb-c6f2-48a6-ae60-ae12f5ea7d37,VALID,Aura,Aura,Aura,,,2018-01-01,2018-12-31
020,2cf9c8c8-7168-4c07-a517-978126a20b10,VALID,Akaa,Akaa,Akaa,,,2018-01-01,2018-12-31
035,770686c7-b657-4fbd-b5d4-08d4276b2a56,VALID,Brändö,Brändö,Brändö,,,2018-01-01,2018-12-31
043,85d063a6-3474-4838-8460-2f1468f2c538,VALID,Eckerö,Eckerö,Eckerö,,,2018-01-01,2018-12-31
046,b14ba487-3277-45a7-a268-83b331023049,VALID,Enonkoski,Enonkoski,Enonkoski,,,2018-01-01,2018-12-31
047,1655b6d2-8c37-4286-bb0d-2d727bc64ebc,VALID,Enontekiö,Enontekis,Enontekiö,,,2018-01-01,2018-12-31
049,5cf19c93-3771-47f1-83b0-d2f4c056b055,VALID,Espoo,Esbo,Espoo,,,2018-01-01,2018-12-31
050,6f470e30-c3d4-40b9-9401-5cb43ac6929d,VALID,Eura,Eura,Eura,,,2018-01-01,2018-12-31
051,eabf8c09-5481-4a09-b91e-3098bd508665,VALID,Eurajoki,Euraåminne,Eurajoki,,,2018-01-01,2018-12-31
052,865ce051-50e4-4f39-b85d-407da69b80fc,VALID,Evijärvi,Evijärvi,Evijärvi,,,2018-01-01,2018-12-31
060,387f24de-8def-44e5-b7cc-ceee8fc48c97,VALID,Finström,Finström,Finström,,,2018-01-01,2018-12-31
061,fd7f77d3-b791-44c4-b70c-8cc261cfd08d,VALID,Forssa,Forssa,Forssa,,,2018-01-01,2018-12-31
062,b3755a4f-9323-40cf-ba8d-225430a070fc,VALID,Föglö,Föglö,Föglö,,,2018-01-01,2018-12-31
065,f6b634d1-0088-4bff-a2e3-a37b2b011735,VALID,Geta,Geta,Geta,,,2018-01-01,2018-12-31
069,ab40d85a-9d1f-4776-a55d-6f9d07303ee5,VALID,Haapajärvi,Haapajärvi,Haapajärvi,,,2018-01-01,2018-12-31
071,48cb5681-73d7-4c93-8c55-2710df3211cd,VALID,Haapavesi,Haapavesi,Haapavesi,,,2018-01-01,2018-12-31
072,25ee31e6-3d2e-4b42-8dcb-f1f4b3e647cd,VALID,Hailuoto,Karlö,Hailuoto,,,2018-01-01,2018-12-31
074,e6f2335e-2b2d-4459-a1c9-91a9ceeb85ff,VALID,Halsua,Halsua,Halsua,,,2018-01-01,2018-12-31
075,8fc3a54c-9d7c-4695-9bea-83da556141e0,VALID,Hamina,Fredrikshamn,Hamina,,,2018-01-01,2018-12-31
076,f03c1f5d-d20b-4fae-ac49-238536478db5,VALID,Hammarland,Hammarland,Hammarland,,,2018-01-01,2018-12-31
077,59263635-d024-49bc-be6e-bc2d3334d957,VALID,Hankasalmi,Hankasalmi,Hankasalmi,,,2018-01-01,2018-12-31
078,50c315a5-7b86-4d4f-a26d-b426495a9649,VALID,Hanko,Hangö,Hanko,,,2018-01-01,2018-12-31
079,d46a4b53-af0c-4ce1-8822-bba1e71163c3,VALID,Harjavalta,Harjavalta,Harjavalta,,,2018-01-01,2018-12-31
081,3e93fa09-3750-43a4-9e88-7b9ebd288255,VALID,Hartola,Hartola,Hartola,,,2018-01-01,2018-12-31
082,0e9de517-5db3-4657-a040-a859f2a4d23d,VALID,Hattula,Hattula,Hattula,,,2018-01-01,2018-12-31
086,23c3ecfd-d04d-4f64-b2e5-e7d52f8baf1d,VALID,Hausjärvi,Hausjärvi,Hausjärvi,,,2018-01-01,2018-12-31
090,044ccac8-3b4a-4c59-9e65-3522ad815704,VALID,Heinävesi,Heinävesi,Heinävesi,,,2018-01-01,2018-12-31
091,0c3fdb7c-7a0e-4652-a7b2-c6692bcd8d12,VALID,Helsinki,Helsingfors,Helsinki,,,2018-01-01,2018-12-31
092,3e4a1059-698a-4df1-9b44-e2c45a3eeca2,VALID,Vantaa,Vanda,Vantaa,,,2018-01-01,2018-12-31
097,e49f64d1-8616-4fca-bf6c-024693fc6476,VALID,Hirvensalmi,Hirvensalmi,Hirvensalmi,,,2018-01-01,2018-12-31
098,83c770cc-80ac-4d26-bd45-a223b659d8d4,VALID,Hollola,Hollola,Hollola,,,2018-01-01,2018-12-31
099,db1ae8cd-9202-479e-ab28-63ede4be175c,VALID,Honkajoki,Honkajoki,Honkajoki,,,2018-01-01,2018-12-31
102,9e296d82-d2fd-404e-885d-8f74987d00cc,VALID,Huittinen,Huittinen,Huittinen,,,2018-01-01,2018-12-31
103,59c4758f-daeb-43ec-b48e-6ec7b84c7776,VALID,Humppila,Humppila,Humppila,,,2018-01-01,2018-12-31
105,c4d7307e-3da5-4b91-9872-5e0d9245f404,VALID,Hyrynsalmi,Hyrynsalmi,Hyrynsalmi,,,2018-01-01,2018-12-31
106,48a1dbe6-5bdb-4778-85a9-24ef0a2d2cf1,VALID,Hyvinkää,Hyvinge,Hyvinkää,,,2018-01-01,2018-12-31
108,a57888f0-83bf-462e-a06b-7987b2809176,VALID,Hämeenkyrö,Tavastkyro,Hämeenkyrö,,,2018-01-01,2018-12-31
109,3fa5ed0b-c6cc-4eb0-899c-aa747e85fbcd,VALID,Hämeenlinna,Tavastehus,Hämeenlinna,,,2018-01-01,2018-12-31
111,67f9daa9-b4f7-45cd-aed5-aec1820bcc69,VALID,Heinola,Heinola,Heinola,,,2018-01-01,2018-12-31
139,3282ff14-1a7e-41bd-8a7b-1362ce7fea05,VALID,Ii,Ii,Ii,,,2018-01-01,2018-12-31
140,f636691b-54e8-4f43-ad35-549785a00f6f,VALID,Iisalmi,Idensalmi,Iisalmi,,,2018-01-01,2018-12-31
142,6c3cb1bf-9bb9-4b5f-9231-0e639c69e90b,VALID,Iitti,Iitti,Iitti,,,2018-01-01,2018-12-31
