CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
A,b5e812fd-8cc9-4c35-a32e-89e79f3a56d2,VALID,Asuin- ja vapaa-ajan alueet,Bostads- och fritidsområden,Residential and leisure areas,,,,,2000-05-01,
A1,470747d1-b94c-485a-a28b-4d713181db9f,VALID,Asuinalueet,Bostadsområden,Residential areas,,,,,2000-05-01,
A11,0b70c900-95b9-448f-a65e-cb6ab6cffaff,VALID,Kerrostaloalueet,Flervåningshusområden,Areas with blocks of flats,"Asuinkerrostalo on vähintään 2-kerroksinen rakennus, jonka vallitseva käyttötapa tai -tarkoitus on asuinkäyttö, johon kuuluu useita huoneistoja ja johon kuuluvilla huoneistoilla ei yleensä ole omaa piha-aluetta eikä erillistä sisäänkäyntiä ulkoa.

Asuinkerrostaloalue on alue, joka sisältää yhden tai useamman asuinkerrostalon alla olevine maa-alueineen sekä näiden käyttöä välittömästi palvelevat piha-alueet, kuten esimerkiksi puutarha-, leikki-, paikoitus- ja varastoalueet rakennuksineen.

Tähän kuuluvat:

Asuinkerrostaloalueet, jollaisiksi luetaan asumiskäyttöön rakennetut kerrostalorakennukset piha-alueineen. Asuinkerrostalon huoneistoilla ei ole omaa piha-aluetta (rakennuksen maantasossa olevan kerroksen huoneistoja mahdollisesti lukuunottamatta), eikä omaa sisäänkäyntiä ulkoa kuten esimerkiksi rivi- ja ketjutaloissa.","Ett flervåningsbostadshus är en byggnad med minst 2 våningar, där det dominerande användningssättet eller -syftet är bostadsbruk. Huset omfattar flera lägenheter som inte i allmänhet har egen gårdsplan eller separat ingång utifrån.

Ett flervåningshusområde är ett område med ett eller flera flervåningsbostadshus med underliggande markområde samt de gårdsområden som omedelbart betjänar användningen av byggnaderna, såsom trädgårds-, lek-, parkerings- och lagerområden med byggnader.

Till klassen hör:

Som flervåningshusområde betraktas flervåningshus som är byggda för bostadsbruk med omgivande gårdsområden. Lägenheterna i flervåningsbostadshus har inte egen gårdsplan (eventuellt med undantag av lägenheterna i markplan) och inte egen ingång utifrån på det sättet som till exempel i rad- och kedjehus.",,,2000-05-01,
A12,b7449ae1-4d9d-4925-8775-e2289ffe663d,VALID,Pientaloalueet,Småhusområden,Small house areas,"Pientaloalue on alue, jolle on rakennettu yksi tai useampi erillispientalo, rivitalo tai kytketty pientalo. Pientaloalueeseen kuuluu rakennusten alla olevat maa-alueet sekä pientalojen käyttöä välittömästi palvelevat piha-alueet, kuten esimerkiksi kotitarvepuutarha-, leikki-, liikennöinti-, paikoitus- ja varastoalueet rakennuksineen.

Erillispientalo on yleensä 1-2 kerroksinen ja enintään 3 kerroksinen rakennus, jonka vallitseva käyttömuoto tai -tarkoitus on asuinkäyttö ja johon kuuluu yleensä yksi huoneisto. Erillispientalolla on oma piha-alue.

Rivitalo on yleensä 1-2 kerroksinen ja enintään 3 kerroksinen rakennus, jonka vallitseva käyttömuoto tai -tarkoitus on asuinkäyttö, johon kuuluu kaksi (paritalot) tai useampia huoneistoja, joilla kullakin on oma piha-alue sekä erillinen sisäänkäynti ulkoa.

(Toisiinsa) kytketyt pientalot ovat yleensä 1-2 kerroksisia ja enintään 3 kerroksia erillisiä rakennuksia, joiden vallitseva käyttömuoto tai -tarkoitus on asuinkäyttö ja jotka on liitetty toisiinsa rakennuskokonaisuudeksi. Kullakin pientalolla on oma piha-alue ja siihen kuuluvilla huoneistoilla oma erillinen sisäänkäynti ulkoa.

Pientaloalueeksi luetaan myös yksittäisten pientalojen tonttialueet esimerkiksi haja-asutusalueella.

Tähän eivät kuulu:

Kesämökit ja siirtolapuutarhamökit tms. vapaa-ajan asumista palvelevat alueet (kuuluvat luokkaan A21. Loma-asuntoalueet).

Maatilojen talouskeskusten asuinalueet (kuuluvat luokkaan E22. Maatalouden rakennettu maa).

Muut kuin kotitarvekäyttöä palvelevat puutarha-alueet kuten kauppapuutarha tms. (kuuluvat luokkaan E13. Puutarhaviljelmät).","På ett småhusområde finns ett eller flera fristående småhus, radhus eller kopplade småhus. Området omfattar markområdena under byggnaderna samt de gårdsområden som omedelbart betjänar användningen av byggnaderna, såsom trädgårdsområde för husbehov, lek-, trafik-, parkerings- och lagerområden med byggnader.

Ett fristående småhus har i allmänhet 1-2 våningar och högst 3 våningar. Det dominerande användningssättet eller -syftet är bostadsbruk och huset omfattar i allmänhet en lägenhet. Ett fristående småhus har egen gårdsplan.

Ett radhus har i allmänhet 1-2 våningar och högst 3 våningar. Det dominerande användningssättet eller -syftet är bostadsbruk och huset omfattar två (parhus) eller flera lägenheter som alla har egen gårdsplan och ingång utifrån.

Sammankopplade småhus är fristående byggnader som i allmänhet har 1-2 våningar och högst 3 våningar. Det dominerande användningssättet eller -syftet är bostadsbruk. Byggnaderna är sammankopplade till en byggnadshelhet. Varje småhus har egen gårdsplan och lägenheterna har egen ingång utifrån.

Också tomtområden för enskilda småhus räknas som småhusområden t.ex. på glesbygdsområde.

Till klassen hör inte:

Fritidsbostadshus och koloniträdgårdsstugor e.d. områden som betjänar fritidsboende (de hör till klassen A21. Områden för fritidsbostäder).

Bostadsområden i gårdsbruksenhets driftscentrum (de hör till klassen E22. Bebyggd jordbruksmark).

Övriga trädgårdsområden än sådana som betjänar husbehov såsom affärsträdgårdar e.d. (de hör till klassen E13. Trädgårdsodlingar).",,,2000-05-01,
A2,3d706e6f-6a6e-4af1-9146-e133592e3029,VALID,Loma- ja matkailualueet,Områden för fritid och turism,Holiday and tourist areas,,,,,2000-05-01,
A21,faa82a78-71d9-403b-baa6-ba76b7cccd33,VALID,Loma-asuntoalueet,Områden för fritidsbostäder,Holiday home areas,"Lomarakennuksella tarkoitetaan kiinteästi sijaintipaikalleen rakennettua rakennusta, joka on tarkoitettu vapaa-ajan asumiseen tai vapaa-ajan viettoon.

Loma-asuntoalue on alue, joka sisältää yhden tai useamman lomarakennuksen alla olevine maa-alueineen sekä ao. rakennusten käyttöä välittömästi palvelevat piha-alueet, kuten esimerkiksi kotitarvepuutarha-, leikki-, liikennöinti-, paikoitus- ja varastoalueet rakennuksineen.

Tähän kuuluvat:

Loma-asuntokäytössä olevat yksittäiset loma-asunnot apualueineen. Sekä omistus- että vuokrattavat mökit. Leirintäalueiden ja siirtolapuutarhojen yhteydessä olevat loma-asuntoalueet luetaan kuitenkin matkailupalvelujen ja lomailun alueeksi.

Loma-asunnoiksi luetaan myös vakinaisessa asuinkäytössä olevat, loma-asuntokäyttöön rakennetut rakennukset. Loma-asuntoalueeksi luetaan myös kiinteästi sijaintipaikalleen rakennetut rantasaunat, metsästysmajat ja vastaavat vapaa-ajanviettoa palvelevat rakennukset tonttialueineen vaikkei niissä olisikaan varsinaisia asumiseen tarkoitettuja tiloja.

Tähän eivät kuulu:

Pientalot taajamissa ja haja-asutusalueella, joita käytetään satunnaiseen asumiseen; esimerkiksi pääosin tyhjillään olevat omakotitalot (kuuluvat luokkaan A12. Pientaloalueet).

Siirtolapuutarha- ja leirintäalueet (kuuluvat luokkaan A22. Matkailupalvelujen ja lomailun alueet).

Hotellityyppinen loma-asuminen; esimerkiksi hotellit (kuuluvat luokkaan B11. Liike- ja toimistorakennusten alueet).

Väliaikaiset tai poissiirrettävät rakennukset; esimerkiksi parakit ja jalasmökit (luokitellaan ympäröivän maankäytön mukaan).","Med fritidsbyggnad avses en byggnad som är permanent uppförd på platsen och som är avsedd för fritidsboende eller fritidsvistelse.

Ett område för fritidsbostäder omfattar en eller flera fritidsbostäder med underliggande markområden samt de gårdsområden som omedelbart betjänar byggnaderna, såsom trädgård för husbehov, lek-, trafik-, parkerings- och lagerområden med byggnader.

Till klassen hör:

Enskilda fritidsbostäder som är i fritidsbostadsbruk samt de omgivande hjälpområdena. Både ägar- och hyresstugor. Områden för fritidsbostäder i anslutning till campingområden och koloniträdgårdar räknas emellertid till områden för fritid och turism.

Som fritidsbostäder betraktas också byggnader som uppförts för fritidsbostadsbruk, men som är i permanent bostadsbruk. Till områden för fritidsbostäder förs också strandbastur och jaktstugor som är fast uppförda på platsen och motsvarande byggnader med tomter som betjänar fritidsvistelse, även om de inte är avsedda för egentligt boende.

Till klassen hör inte:

Småhus i förorter och glesbygder, som används för tillfälligt boende, t.ex. egnahemshus som huvudsakligen står tomma (de hör till klassen A12. Småhusområden).

Koloniträdgårds- och campingområden (de hör till klassen A22. Områden för turist- och fritidsanläggningar).

Semesterboende av hotelltyp, t.ex. hotell (de hör till klassen B11. Områden för affärs- och kontorsbyggnader).

Tillfälliga eller flyttbara byggnader, t.ex. baracker, stugor på medar, klassificeras enligt den omgivande markanvändningen.",,,2000-05-01,
A22,3d1ab483-57de-491f-af79-89f4a736a2a6,VALID,Matkailupalvelujen ja lomailun alueet,Områden för turist- och fritidsanläggningar,Tourist service and holiday areas,"Matkailupalvelujen ja lomailun alueet ovat alueita, joita käytetään matkailuun liittyvään tilapäiseen asumiseen asuntovaunuissa, teltoissa ja vastaavissa sekä muut matkailu- ja lomailukäyttöä palvelevat alueet, joita ei voida pitää huvi- ja viihdepalveluiden eikä urheilu- ja virkistyspalveluiden alueena.

Tähän kuuluvat:

Matkailupalvelujen ja lomailun alueita ovat mm. leirintä- ja asuntovaunualueet sekä siirtolapuutarha- ja palstaviljelyalueet.

Leirintä- ja asuntovaunualue on tilapäistä telttamajoitus- ja/tai asuntovaunu-/asuntoautoasumista varten erikseen rakennettu alue. Alueella voi olla vuokrattavia lomamökkejä. Leirintä- ja asuntovaunualueeksi luetaan myös alueen käyttöä välittömästi palvelevat muut alueet, kuten esimerkiksi paikoitus-, huolto- ja varastoalueet rakennuksineen. Leirintä- ja asuntovaunualueeksi luetaan myös muun alueidenkäytön yhteydessä toimivat vastaavat alueet (esimerkiksi urheilu- ja virkistyspalveluiden tai huvi- ja viihdepalvelujen yhteydessä toimivat asuntovaunualueet).

Siirtolapuutarha on taajamassa tai sen lievealueella oleva pieni puutarha, jossa palstat on määritelty niin, että ne muodostavat kokonaisuuden. Siirtolapuutarha-alue on jaettu 250-500 m2 suuruisiin vuokrattaviin viljelypalstoihin. Palstalle saa rakentaa tyyppipiirustusten mukaisen mökin jota ei kuitenkaan saa käyttää vakinaiseen asumiseen.

Palstaviljelyalue on yleensä kunnan omistama viljelyalue, joka on jaettu esimerkiksi 100 m2 suuruisiin viljelypalstoihin, joita vuokrataan palstaviljelyä harrastaville. Viljelypalstalle ei saa rakentaa.","Områden för turist- och fritidsanläggningar används för tillfälligt boende i husvagnar, tält och motsvarande som är förknippat med turism samt övriga områden som betjänar turism och fritidsanvändning och som inte kan betraktas som områden för nöjes- och underhållningstjänster eller områden för idrotts- och rekreationsanläggningar.

Till klassen hör:

Områden för turist- och fritidsanläggningar är bl.a. camping- och husvagnsområden samt koloniträdgårdar och områden med odlingslotter.

Camping- och husvagnsområden är områden som enkom byggts för tillfälligt boende i tält och/eller husvagn/husbil. Det kan finnas semesterstugor som hyrs ut på området. Till camping- och husvagnsområden räknas också övriga områden som omedelbart betjänar området, såsom parkerings-, underhålls- och lagerområden med byggnader. Till camping- och husvagnsområden förs ytterligare motsvarande områden i anslutning till annan markanvändning (t.ex. husvagnsområden i anslutning till områden för idrotts- och rekreationsanläggningar eller områden för nöjes- och underhållningstjänster).

En koloniträdgård är en liten trädgård i en tätort eller i tätortens influensområde, där lotterna har definierats så att de bildar en helhet. Ett koloniträdgårdsområde är indelat i odlingslotter på 250-500 m² som hyrs ut. Det är tillåtet att bygga en stuga i enlighet med typritningar på odlingslotten, men stugan får inte användas för permanent boende.

Ett område för odlingslotter är ett odlingsområde, som i allmänhet ägs av kommunen och som vanligen är indelat i odlingslotter på ungefär 100 m². Lotterna hyrs ut till personer som idkar lottodling. Det är inte tillåtet att bygga på en odlingslott.",,,2000-05-01,
A3,c7422a29-cd60-4e53-b32e-e975d9cf2ea4,VALID,Muut vapaa-ajantoimintojen alueet,Övriga områden för fritidsfunktioner,Other leisure activity areas,,,,,2000-05-01,
A31,976fb8bc-201e-4efe-9d7d-125b6d112e5d,VALID,Huvi- ja viihdepalvelujen alueet,Områden för nöjes- och underhållningstjänster,Amusement and entertainment service areas,"Huvi- ja viihdepalvelujen alueet ovat vapaa-ajanviettoon tarkoitettuja ja sitä varten erikseen rakennettuja alueita, joilla ei ole majoittumiseen tarkoitettuja rakennuksia.

Tähän kuuluvat:

Alueet, jotka on huvi- ja viihdepalveluita tarjoamaan erikseen rakennettu:

- huvipuistot, eläintarhat, kotieläinpuistot, leiri- ja vapaa-ajankeskukset, tanssilavat, kesäteatterit, jne.

Tähän eivät kuulu:

Urheilualueet (kuuluvat luokkaan A32. Urheilu- ja virkistyspalvelujen alueet).

Kylpylähotellit tms. majoitustiloja tarjoavat (kuuluvat luokkaan B11. Liike- ja toimistorakennusten alueet).","Områden för nöjes- och underhållningstjänster är avsedda för fritidsvistelse och byggda enkom för det ändamålet och det finns inga byggnader på områdena som är avsedda för inkvartering.

Till klassen hör:

Områden som är byggda enkom för att erbjuda nöjes- och underhållningstjänster:

- nöjesparker, djurgårdar, husdjursparker, camping- och fritidscentrer, dansbanor, sommarteatrar osv.

Till klassen hör inte:

Idrottsområden (de hör till klassen A32. Områden för idrotts- och rekreationsanläggningar).

Badhotell e.d. som erbjuder inkvartering (de hör till klassen B11. Områden för affärs- och kontorsbyggnader).",,,2000-05-01,
A32,f153e8c7-ecdd-484f-bf7f-b62f35982509,VALID,Urheilu- ja virkistyspalvelujen alueet,Områden för idrotts- och rekreationsanläggningar,Sports and recreation service areas,"Urheilu- ja virkistyspalvelujen alueet ovat urheilu- ja harrastustoimintaan tarkoitettuja ja sitä varten erikseen rakennettuja alueita, joilla ei yleensä ole majoittumiseen tarkoitettuja rakennuksia.

Tähän kuuluvat:

Alueet, jotka on urheilu- ja virkistyspalveluita tarjoamaan erikseen rakennettu:

- uimalat, uimarannat ja uimahallit, urheilukentät ja -hallit, moottoriurheilualueet, erityisurheilulaitokset, urheiluammuntaradat, eläinurheilualueet (raviradat tms.), laskettelukeskukset, 
golfkentät jne.

Tähän eivät kuulu:

Urheilu- ja leikkialueet tms. muun maankäytön yhteydessä:

- koulujen urheilukentät luokitellaan ympäröivän maankäytön perusteella

- puistoalueiden leikkipaikat jne. luetaan ao. alueen muuhun maankäyttöön.

Ilmailuharrastusalueet, harrastelentokentät (kuuluvat luokkaan C13. Lentoliikenne- ja ilmailualueet).

Retkeily- ja ulkoilualueet (kuuluvat luokkaan A34. Virkistys- ja ulkoilualueet).","Områden för idrotts- och rekreationsanläggningar är avsedda för idrott och hobbyer och enkom byggda för det ändamålet. Det finns inte i allmänhet några byggnader som är avsedda för inkvartering på områdena.

Till klassen hör:

Områden som är byggda enkom för att erbjuda idrotts- och rekreationstjänster:

- friluftsbad, badstränder och simhallar, idrottsplaner och -hallar, motorsportsområden, specialidrottsanläggningar, sportskyttebanor, djursportsområden (travbanor e.d.), slalomcentrer, golfbanor osv.

Till klassen hör inte:

Idrotts- och lekområden e.d. i anslutning till annan markanvändning:

- skolors idrottsplaner klassificeras enligt den omgivande markanvändningen

- lekplatser i parkområden osv. (de hör till klassen övrig markanvändning på området i fråga).

Områden för sportflygning, sportflygfält (de hör till klassen C13. Flygtrafik- och luftfartsområden).

Frilufts- och strövområden (de hör till klassen A34. Rekreations- och strövområden).",,,2000-05-01,
