CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
00,a198b6b4-fe91-465e-8b02-139e2184378a,VALID,Toimiala tuntematon,Näringsgrenen okänd,Industry unknown,Luokan yleiskuvaus:  Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: ,Information om klassificeringen:   Innehåller:   innehåller också:   innehåller inte: ,,,2008-01-01,
000,6fdb7f1a-577b-4a37-8ed9-c762b0284295,VALID,Toimiala tuntematon,Näringsgrenen okänd,Industry unknown,Luokan yleiskuvaus:  Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: ,Information om klassificeringen:   Innehåller:   innehåller också:   innehåller inte: ,,,2008-01-01,
0000,fedccdc4-7cfb-4436-b0dc-14cdaf77d8c1,VALID,Toimiala tuntematon,Näringsgrenen okänd,Industry unknown,Luokan yleiskuvaus:  Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: ,Information om klassificeringen:   Innehåller:   innehåller också:   innehåller inte: ,,,2008-01-01,
00000,c1b6b20c-4434-4351-8db2-0f032eab1636,VALID,Toimiala tuntematon,Näringsgrenen okänd,Industry unknown,Luokan yleiskuvaus:  Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: ,Information om klassificeringen:   Innehåller:   innehåller också:   innehåller inte: ,,,2008-01-01,
01,2c29d2e3-5878-4c41-86f1-f9378dfa69a3,VALID,"Kasvinviljely ja kotieläintalous, riistatalous ja niihin liittyvät palvelut",Jordbruk och jakt samt service i anslutning härtill,"Crop and animal production, hunting and related service activities","Luokan yleiskuvaus: Tähän luokkaan kuuluu kaksi perustoimintoa, viljelykasvituotteiden tuotanto ja eläintuotteiden tuotanto. Tuotanto voi tapahtua joko tavanomaisesti, luonnonmukaisena maataloutena tai geenitekniikalla muunneltujen kasvien viljelynä tai eläinten kasvatuksena.

Viljelykasvituotantoon kuuluvat toisaalta yksivuotiset peltokasvit, kuten viljat, vihannekset ja kukat, toisaalta monivuotisilta istutuksilta, kuten marja- ja hedelmätarhoilta saatavat tuotteet. Luokka kattaa viljelykasvien viljelyn sekä avomaalla että kasvihuoneissa.

Luokalle 015 (Yhdistetty kasvinviljely ja kotieläintalous) ei tavallisista periaatteista poiketen määritellä pääasiallista toimintoa. Monilla tiloilla kasvinviljelytuotantoa ja kotieläintuotantoa on suunnilleen yhtä paljon, ja olisi sattumanvaraista luokitella tällaiset tilat vain toiseen luokkaan.

Tähän luokkaan kuuluu myös maataloutta, metsästystä ja ansapyyntiä palveleva toiminta.

Maatalouteen kuuluu markkinoille saattamisen edellyttämä maataloustuotteiden käsittely. Muu jatkokäsittely kuuluu luokkiin 10 (Elintarvikkeiden valmistus) ja 11 (Juomien valmistus) sekä luokkaan 12 (Tupakkatuotteiden valmistus) seuraavaa poikkeusta lukuun ottamatta.

Kun tilalla tuotetaan maataloustuotteita ja niistä jalostetaan tilalla elintarvikkeita, toiminta luokitellaan arvonlisäperiaatteen mukaisesti joko maatalouteen tai elintarviketeollisuuteen. Esimerkkejä tämäntyyppisestä toiminnasta ovat viinin valmistus tilalla kasvatetuista omenoista tai juuston valmistus tilalla tuotetusta maidosta. Arvonlisän määrittäminen voi perustua toimintaan käytettyjen työtuntien määrään, jos sen määrittäminen muutoin on vaikeata.

Tilan toimintaan tavallisesti kuuluvat toiminnat, kuten maanmuokkaus, kylvö, sadonkorjuu ja johtaminen, voidaan antaa palkkio- tai sopimusperusteella maatalouden tukiyksiköiden tehtäväksi kasvinviljelyä (0161) tai eläintenhoitoa (0162) palvelevana toimintana.

Tähän luokkaan eivät kuulu peltomaan perustustyöt (esim. maatalousmaan pengerrys, salaojitus, riisipeltojen perustustyöt yms.), jotka kuuluvat pääluokkaan F (Rakentaminen), eikä ostajien ja maataloustuotteita markkinoivien osuuskuntien toiminta, jotka kuuluvat pääluokkaan G. Tähän eivät myöskään kuulu maisemanhoitopalvelut, jotka kuuluvat luokkaan 81300. Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: - metsätalous (02)
- maatalouskoneiden korjaus (33122)
- maatilamatkailu (55902)
- maatalouskoneiden vuokraus ilman käyttäjiä (77310)
- eläinlääkintäpalvelut (75000)
- maatalous- ja metsämaan salaojitus ja pengerrys (43120)","Information om klassificeringen: I denna grupp ingår två basverksamheter, dvs. produktion av odlingsväxter och animaliska produkter. Produktionen kan vara traditionell eller ekologisk och även omfatta genetiskt modifierade växter och uppfödning av genetiskt modifierade djur.

Växtodling omfattar å ena sidan ettåriga åkerväxter, såsom spannmål, grönsaker och blommor, å andra sidan produkter från fleråriga odlingar, såsom produkter från bär- och fruktodlingar. I gruppen ingår odling av kulturväxter både på friland och i växthus.

För grupp 015 (Blandat jordbruk) fastställs, avvikande från den vanliga principen, ingen huvudverksamhet. Många jordbruksföretag har en någorlunda balanserad fördelning mellan vegetabilie- och animalieproduktion och det skulle vara godtyckligt att klassificera dem i den ena eller andra kategorin.

Denna grupp omfattar också serviceverksamhet i anslutning till jordbruk och jakt.

I jordbruk ingår den bearbetning av jordbruksprodukter som förutsätts för saluföring på marknaden. Annan vidare bearbetning redovisas i grupperna 10 (Livsmedelsframställning) och 11 (Framställning av drycker) samt i grupp 12 (Tobaksvarutillverkning) frånsett följande undantag.

Då gården producerar jordbruksprodukter och då man av dem producerar livsmedel på gården, klassificeras verksamheten enligt mervärdesprincipen antingen som jordbruk eller livsmedelsindustri. Exempel på dylik verksamhet är vintillverkning av äpplen som odlats på gården eller osttillverkning av mjölk som producerats på gården. Fastställandet av mervärdet kan bygga på antalet timmar som använts för verksamheten, om det annars är svårt att definiera.

Verksamheter som i normala fall ingår i gårdens verksamhet, såsom jordbearbetning, sådd, skörd och ledning, kan på basis av arvode eller kontrakt ges i uppgift till stödenheter för jordbruk som service till växtodling (0161) eller service till husdjursskötsel (0162).

Denna grupp omfattar inte iordningsställande av åkermark, som förs till grupp F (Byggverksamhet), och inte heller agenturhandlare eller kooperativ som sysslar med marknadsföring av jordbruksprodukter, som redovisas i grupp G. Gruppen omfattar inte heller landskapsvård, som ingår i grupp 81300.  Innehåller:   innehåller också:   innehåller inte: - skogsbruk (02)
- reparation av jordbruksmaskiner (33122)
- gårdsbruksturism (55902)
- uthyrning av jordbruksmaskiner utan förare (77310)
- veterinärtjänster (75000)
- dränering och terrassering av jordbruks- och skogsbruksmark (43120)",,,2008-01-01,
011,7bbc186c-12b7-41ef-a767-786938851ca2,VALID,Yksivuotisten kasvien viljely,Odling av ett- och tvååriga växter,Growing of non-perennial crops,"Luokan yleiskuvaus: Yksivuotisten kasvien (kasvien, jotka elävät korkeintaan kaksi kasvukautta) viljely. Tähän kuuluu myös näiden kasvien viljely siementuotantoa varten. Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: ","Information om klassificeringen: Gruppen omfattar odling av ett- och tvååriga växter, dvs. växter som högst varar i två växtsäsonger. Omfattar också odling av dessa växter för fröproduktion.  Innehåller:   innehåller också:   innehåller inte: ",,,2008-01-01,
0111,a8fd5d90-9f80-4e81-94f5-d3c6a9baf8e9,VALID,"Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely","Odling av spannmål (utom ris), baljväxter och oljeväxter","Growing of cereals (except rice), leguminous crops and oil seeds",Luokan yleiskuvaus:  Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: ,Information om klassificeringen:   Innehåller:   innehåller också:   innehåller inte: ,,,2008-01-01,
01110,7d46b020-e4e7-4f80-bf95-146ad80adc51,VALID,"Viljakasvien (pl. riisin), palkokasvien ja öljysiemenkasvien viljely","Odling av spannmål (utom ris), baljväxter och oljeväxter","Growing of cereals (except rice), leguminous crops and oil seeds","Luokan yleiskuvaus: Viljakasvien, palkokasvien ja öljysiemenkasvien viljely avoimella pellolla. Tuotantoyksiköissä viljellään usein useita eri kasveja. Tähän kuuluu: - viljakasvien viljely, kuten:
- - vehnä
- - ohra
- - ruis
- - kaura
- - hirssi
- - maissi
- - durra
- - ruisvehnä
- - muualla luokittelemattomat viljakasvit
- palkokasvien viljely, kuten:
- - herneet
- - pavut
- - härkäpavut
- - linssit
- - muut palkokasvit
- öljysiemenkasvien viljely, kuten:
- - rypsi ja rapsi
- - öljypellava
- - sinapinsiemen
- - auringonkukansiemen
- - ruistankio (kitupellava, Camelina)
- - muut öljysiemenkasvit
- viljakasvien kylvösiementen tuotanto Tähän kuuluu myös:  Tähän ei kuulu: - riisin viljely (01120)
- sokerimaissin viljely (01131)
- rehumaissin viljely (01199)
- tattarin viljely (01199)
- öljyä sisältävien hedelmien viljely (01260)
- kuitukasvien, kuten kuitupellavan viljely (01160)","Information om klassificeringen: Odling av spannmål, baljväxter och oljeväxter på åkermark. Produktionsenheterna odlar ofta flera olika växter.  Innehåller: - odling av spannmål, t.ex.:
- - vete
- - korn
- - råg
- - havre
- - hirs
- - majs
- - durra
- - rågvete
- - övrig spannmål
- odling av baljväxter, t.ex.:
- - ärter
- - bönor
- - bondbönor
- - linser
- - övriga baljväxter
- odling av oljeväxter, t.ex.:
- - rybs och raps
- - oljelin
- - senapsfrö
- - solrosfrö
- - oljedådra ('nödvuxet lin', Camelina)
- - övriga oljeväxter
- produktion av utsäde för spannmål  innehåller också:   innehåller inte: - odling av ris (01120) 
- odling av sötmajs (01131) 
- odling av majs som foder (01199)
- odling av bovete (01199)
- odling av oljehaltiga frukter (01260)
- odling av fiberväxter, såsom fiberlin (01160)",,,2008-01-01,
0112,4a1b6791-f3e6-4a85-b6ad-8e5a4b134fe0,VALID,Riisin viljely,Odling av ris,Growing of rice,Luokan yleiskuvaus:  Tähän kuuluu:  Tähän kuuluu myös:  Tähän ei kuulu: ,Information om klassificeringen:   Innehåller:   innehåller också:   innehåller inte: ,,,2008-01-01,
01120,aabe8711-9aea-4e3b-9b39-3704fdb6e031,VALID,Riisin viljely,Odling av ris,Growing of rice,Luokan yleiskuvaus:  Tähän kuuluu: - riisin viljely Tähän kuuluu myös:  Tähän ei kuulu: ,Information om klassificeringen:   Innehåller: - odling av ris  innehåller också:   innehåller inte: ,,,2008-01-01,
