CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
AGRI,0F081CB7-181D-44D9-94F8-851DBF29DC62,RETIRED,"Maatalous, kalastus, metsätalous ja elintarvikkeet","Jordbruk, fiske, skogsbruk och livsmedel","Agriculture, fisheries, forestry and food",,,"This concept identifies datasets covering such domains as agriculture, fisheries, forestry or food.",,,
ECON,C1F5AA13-7D17-49AB-B2BC-E4960F40D53A,RETIRED,Talous ja raha-asiat,Ekonomi och finans,Economy and finance,,,"This concept identifies datasets covering such domains as economy or finance.",,,
EDUC,B4290699-F3C4-4EA4-908C-578350E1D1BC,RETIRED,"Koulutus, kulttuuri ja urheilu","Utbildning, kultur och sport","Education, culture and sport",,,"This concept identifies datasets covering such domains as education, culture or sport.",,,
ENER,B0E42BA5-113E-4348-946E-437E9797B359,RETIRED,Energia,Energi,Energy,,,"This concept identifies datasets covering the domain of energy.",,,
ENVI,E091B6B9-648E-4ACA-A874-5105C9F5CE6C,RETIRED,Ympäristö,Miljö,Environment,,,"This concept identifies datasets covering the domain of environment.",,,
GOVE,23D3A60D-A738-4FF4-BB70-B9A5FBF11894,RETIRED,Valtioneuvosto ja julkinen sektori,Regeringen och den offentliga sektorn,Government and public sector,,,"This concept identifies datasets covering such domains as government or public sector.",,,
HEAL,29A065BB-2493-4F90-9C0A-5DE4B9F87359,RETIRED,Terveys,Hälsa,Health,,,"This concept identifies datasets covering the domain of health.",,,
INTR,5D0CBFAC-1602-4D0D-A9DB-B3CB3D400D61,RETIRED,Kansainväliset kysymykset,Internationella frågor,International issues,,,"This concept identifies datasets covering the domain of international issues.",,,
JUST,161FD948-A1B3-442A-9AF9-60DE2FEE380C,RETIRED,"Oikeus, oikeusjärjestelmä ja yleinen turvallisuus","Rättvisa, rättsliga system och allmän säkerhet","Justice, legal system and public safety",,,"This concept identifies datasets covering such domains as justice, legal system or public safety.",,,
REGI,C753411E-6C28-44E1-B077-57C820D0E31D,RETIRED,Alueet ja kaupungit,Regioner och städer,Regions and cities,,,"This concept identifies datasets covering such domains as regions or cities.",,,
SOCI,383BFF80-A5C3-4770-827A-019F03CC8DBF,RETIRED,Väestö ja yhteiskunta,Befolkning och samhälle,Population and society,,,"This concept identifies datasets covering such domains as population or society.",,,
TECH,E535E7E5-B074-4769-892E-C0193E8104DC,RETIRED,Tiede ja teknologia,Vetenskap och teknik,Science and technology,,,"This concept identifies datasets covering such domains as science or technology.",,,
TRAN,DAA98377-BEC7-46F8-8A2E-5888DD043C05,RETIRED,Liikenne,Transport,Transport,,,"This concept identifies datasets covering the domain of transport.",,,
