CODEVALUE,ID,STATUS,HIERARCHYLEVEL,NOTATION,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
v3001,,DRAFT,,KE1,Lapsen saaminen,Att få barn,Having a child,,,,,,,,,
v3002,,DRAFT,,KE1.1,Adoptio,Adoption,Adoption,,,,,,,,,
v3003,,DRAFT,,KE10,Eläkkeelle siirtyminen,Att gå i pension,Retirement,,,,,,,,,
v3004,,DRAFT,,KE11,Vakava sairastuminen,När man blir allvarligt sjuk,Falling seriously ill,,,,,,,,,
v3005,,DRAFT,,KE12,Kuntoutus,Rehabilitering,Rehabilition,,,,,,,,,
v3006,,DRAFT,,KE13,Omaishoitajana toimiminen,Att arbeta som anhörigvårdare,Giving informal care,,,,,,,,,
v3007,,DRAFT,,KE14,Omaisen kuolema,När en anhörig avlider,Death of a close family broaderMember,,,,,,,,,
v3008,,DRAFT,,KE2,Asevelvollisuus,Värnplikt,Conscription,,,,,,,,,
v3009,,DRAFT,,KE3,Kokoaikaisen opiskelun aloittaminen,Inledande av heltidsstudier,Beginning full-time studies,,,,,,,,,
v3010,,DRAFT,,KE4,Muuttaminen,Flyttning,Moving,,,,,,,,,
v3011,,DRAFT,,KE4.1,Kotoa muuttaminen,Att flytta hemifrån,Moving from childhood home,,,,,,,,,
v3012,,DRAFT,,KE4.2,Suomen sisällä muuttaminen,Att flytta inom Finland,Moving to new home within Finland,,,,,,,,,
v3013,,DRAFT,,KE4.3,Suomesta muuttaminen,Flyttning till Finland,Moving abroad,,,,,,,,,
v3014,,DRAFT,,KE4.4,Paluumuutto Suomeen,Återflyttning till Finland,Moving back to Finland,,,,,,,,,
v3015,,DRAFT,,KE5,Maahanmuuttajana Suomeen,Till Finland som invandrare,Immigrating to Finland,,,,,,,,,
v3016,,DRAFT,,KE6,Talon rakentaminen,Att bygga ett hus,Building a home,,,,,,,,,
v3017,,DRAFT,,KE7,Avioero,Skilsmässa,Divorce,,,,,,,,,
v3018,,DRAFT,,KE8,Työttömäksi jääminen,Att bli arbetslös,Losing a job,,,,,,,,,
v3019,,DRAFT,,KE9,Velkaantuminen,Skuldsättning,Burdened by debt,,,,,,,,,
