CODEVALUE,ID,STATUS,HIERARCHYLEVEL,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
aa,,INVALID,,Afar,afar,,,,,,,,,,
ab,,INVALID,,Abkhazian,abhaasi,,,,,,,,,,
ace,,INVALID,,Achinese,atšeh,,,,,,,,,,
ach,,INVALID,,Acoli,atšoli,,,,,,,,,,
ada,,INVALID,,Adangme,adangme,,,,,,,,,,
ady,,INVALID,,Adyghe,adyge,,,,,,,,,,
ae,,INVALID,,Avestan,avesta,,,,,,,,,,
aeb,,INVALID,,Tunisian Arabic,tunisianarabia,,,,,,,,,,
af,,INVALID,,Afrikaans,afrikaans,,,,,,,,,,
afh,,INVALID,,Afrihili,afrihili,,,,,,,,,,
agq,,INVALID,,Aghem,aghem,,,,,,,,,,
ain,,INVALID,,Ainu,ainu,,,,,,,,,,
ak,,INVALID,,Akan,akan,,,,,,,,,,
akk,,INVALID,,Akkadian,akkadi,,,,,,,,,,
akz,,INVALID,,Alabama,alabama,,,,,,,,,,
ale,,INVALID,,Aleut,aleutti,,,,,,,,,,
alt,,INVALID,,Southern Altai,altai,,,,,,,,,,
am,,INVALID,,Amharic,amhara,,,,,,,,,,
an,,INVALID,,Aragonese,aragonia,,,,,,,,,,
ang,,INVALID,,Old English,muinaisenglanti,,,,,,,,,,
anp,,INVALID,,Angika,angika,,,,,,,,,,
ar,,INVALID,,Arabic,arabia,,,,,,,,,,
ar_001,,INVALID,,Modern Standard Arabic,yleisarabia,,,,,,,,,,
arc,,INVALID,,Aramaic,valtakunnanaramea,,,,,,,,,,
arn,,INVALID,,Mapuche,mapudungun,,,,,,,,,,
aro,,INVALID,,Araona,araona,,,,,,,,,,
arp,,INVALID,,Arapaho,arapaho,,,,,,,,,,
arq,,INVALID,,Algerian Arabic,algerianarabia,,,,,,,,,,
arw,,INVALID,,Arawak,arawak,,,,,,,,,,
ary,,INVALID,,Moroccan Arabic,marokonarabia,,,,,,,,,,
arz,,INVALID,,Egyptian Arabic,egyptinarabia,,,,,,,,,,
as,,INVALID,,Assamese,assami,,,,,,,,,,
asa,,INVALID,,Asu,asu,,,,,,,,,,
ase,,INVALID,,American Sign Language,amerikkalainen viittomakieli,,,,,,,,,,
ast,,INVALID,,Asturian,asturia,,,,,,,,,,
av,,INVALID,,Avaric,avaari,,,,,,,,,,
awa,,INVALID,,Awadhi,awadhi,,,,,,,,,,
avk,,INVALID,,Kotava,kotava,,,,,,,,,,
ay,,INVALID,,Aymara,aimara,,,,,,,,,,
az,,INVALID,,Azerbaijani,azeri,,,,,,,,,,
az-short,,INVALID,,Azeri,azeri,,,,,,,,,,
ba,,INVALID,,Bashkir,baškiiri,,,,,,,,,,
bal,,INVALID,,Baluchi,belutši,,,,,,,,,,
ban,,INVALID,,Balinese,bali,,,,,,,,,,
bar,,INVALID,,Bavarian,baijeri,,,,,,,,,,
bas,,INVALID,,Basaa,basaa,,,,,,,,,,
bax,,INVALID,,Bamun,bamum,,,,,,,,,,
bbc,,INVALID,,Batak Toba,batak-toba,,,,,,,,,,
bbj,,INVALID,,Ghomala,ghomala,,,,,,,,,,
be,,INVALID,,Belarusian,valkovenäjä,,,,,,,,,,
bej,,INVALID,,Beja,bedža,,,,,,,,,,
bem,,INVALID,,Bemba,bemba,,,,,,,,,,
bew,,INVALID,,Betawi,betawi,,,,,,,,,,
bez,,INVALID,,Bena,bena,,,,,,,,,,
bfd,,INVALID,,Bafut,fut,,,,,,,,,,
bfq,,INVALID,,Badaga,badaga,,,,,,,,,,
bg,,INVALID,,Bulgarian,bulgaria,,,,,,,,,,
bgn,,INVALID,,Western Balochi,länsibelutši,,,,,,,,,,
bho,,INVALID,,Bhojpuri,bhodžpuri,,,,,,,,,,
bi,,INVALID,,Bislama,bislama,,,,,,,,,,
bik,,INVALID,,Bikol,bikol,,,,,,,,,,
bin,,INVALID,,Bini,bini,,,,,,,,,,
bjn,,INVALID,,Banjar,banjar,,,,,,,,,,
bkm,,INVALID,,Kom,kom,,,,,,,,,,
bla,,INVALID,,Siksika,siksika,,,,,,,,,,
bm,,INVALID,,Bambara,bambara,,,,,,,,,,
bn,,INVALID,,Bangla,bengali,,,,,,,,,,
bo,,INVALID,,Tibetan,tiibet,,,,,,,,,,
bpy,,INVALID,,Bishnupriya,bišnupria,,,,,,,,,,
bqi,,INVALID,,Bakhtiari,bahtiari,,,,,,,,,,
br,,INVALID,,Breton,bretoni,,,,,,,,,,
bra,,INVALID,,Braj,bradž,,,,,,,,,,
brh,,INVALID,,Brahui,brahui,,,,,,,,,,
brx,,INVALID,,Bodo,bodo,,,,,,,,,,
bs,,INVALID,,Bosnian,bosnia,,,,,,,,,,
bss,,INVALID,,Akoose,koose,,,,,,,,,,
bua,,INVALID,,Buriat,burjaatti,,,,,,,,,,
bug,,INVALID,,Buginese,bugi,,,,,,,,,,
bum,,INVALID,,Bulu,bulu,,,,,,,,,,
byn,,INVALID,,Blin,bilin,,,,,,,,,,
byv,,INVALID,,Medumba,medumba,,,,,,,,,,
