CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
005,,DRAFT,Alajärvi,Alajärvi,Alajärvi,,,,,,,,,
009,,DRAFT,Alavieska,Alavieska,Alavieska,,,,,,,,,
010,,DRAFT,Alavus,Alavus,Alavus,,,,,,,,,
016,,DRAFT,Asikkala,Asikkala,Asikkala,,,,,,,,,
018,,DRAFT,Askola,Askola,Askola,,,,,,,,,
019,,DRAFT,Aura,Aura,Aura,,,,,,,,,
020,,DRAFT,Akaa,Akaa,Akaa,,,,,,,,,
035,,DRAFT,Brändö,Brändö,Brändö,,,,,,,,,
043,,DRAFT,Eckerö,Eckerö,Eckerö,,,,,,,,,
046,,DRAFT,Enonkoski,Enonkoski,Enonkoski,,,,,,,,,
047,,DRAFT,Enontekiö,Enontekis,Enontekiö,,,,,,,,,
049,,DRAFT,Espoo,Esbo,Espoo,,,,,,,,,
050,,DRAFT,Eura,Eura,Eura,,,,,,,,,
051,,DRAFT,Eurajoki,Euraåminne,Eurajoki,,,,,,,,,
052,,DRAFT,Evijärvi,Evijärvi,Evijärvi,,,,,,,,,
060,,DRAFT,Finström,Finström,Finström,,,,,,,,,
061,,DRAFT,Forssa,Forssa,Forssa,,,,,,,,,
062,,DRAFT,Föglö,Föglö,Föglö,,,,,,,,,
065,,DRAFT,Geta,Geta,Geta,,,,,,,,,
069,,DRAFT,Haapajärvi,Haapajärvi,Haapajärvi,,,,,,,,,
071,,DRAFT,Haapavesi,Haapavesi,Haapavesi,,,,,,,,,
072,,DRAFT,Hailuoto,Karlö,Hailuoto,,,,,,,,,
074,,DRAFT,Halsua,Halsua,Halsua,,,,,,,,,
075,,DRAFT,Hamina,Fredrikshamn,Hamina,,,,,,,,,
076,,DRAFT,Hammarland,Hammarland,Hammarland,,,,,,,,,
077,,DRAFT,Hankasalmi,Hankasalmi,Hankasalmi,,,,,,,,,
078,,DRAFT,Hanko,Hangö,Hanko,,,,,,,,,
079,,DRAFT,Harjavalta,Harjavalta,Harjavalta,,,,,,,,,
081,,DRAFT,Hartola,Hartola,Hartola,,,,,,,,,
082,,DRAFT,Hattula,Hattula,Hattula,,,,,,,,,
086,,DRAFT,Hausjärvi,Hausjärvi,Hausjärvi,,,,,,,,,
090,,DRAFT,Heinävesi,Heinävesi,Heinävesi,,,,,,,,,
091,,DRAFT,Helsinki,Helsingfors,Helsinki,,,,,,,,,
092,,DRAFT,Vantaa,Vanda,Vantaa,,,,,,,,,
097,,DRAFT,Hirvensalmi,Hirvensalmi,Hirvensalmi,,,,,,,,,
098,,DRAFT,Hollola,Hollola,Hollola,,,,,,,,,
099,,DRAFT,Honkajoki,Honkajoki,Honkajoki,,,,,,,,,
102,,DRAFT,Huittinen,Huittinen,Huittinen,,,,,,,,,
103,,DRAFT,Humppila,Humppila,Humppila,,,,,,,,,
105,,DRAFT,Hyrynsalmi,Hyrynsalmi,Hyrynsalmi,,,,,,,,,
106,,DRAFT,Hyvinkää,Hyvinge,Hyvinkää,,,,,,,,,
108,,DRAFT,Hämeenkyrö,Tavastkyro,Hämeenkyrö,,,,,,,,,
109,,DRAFT,Hämeenlinna,Tavastehus,Hämeenlinna,,,,,,,,,
111,,DRAFT,Heinola,Heinola,Heinola,,,,,,,,,
139,,DRAFT,Ii,Ii,Ii,,,,,,,,,
140,,DRAFT,Iisalmi,Idensalmi,Iisalmi,,,,,,,,,
142,,DRAFT,Iitti,Iitti,Iitti,,,,,,,,,
143,,DRAFT,Ikaalinen,Ikalis,Ikaalinen,,,,,,,,,
145,,DRAFT,Ilmajoki,Ilmajoki,Ilmajoki,,,,,,,,,
146,,DRAFT,Ilomantsi,Ilomants,Ilomantsi,,,,,,,,,
148,,DRAFT,Inari,Enare,Inari,,,,,,,,,
149,,DRAFT,Inkoo,Ingå,Ingå,,,,,,,,,
151,,DRAFT,Isojoki,Storå,Isojoki,,,,,,,,,
152,,DRAFT,Isokyrö,Storkyro,Isokyrö,,,,,,,,,
153,,DRAFT,Imatra,Imatra,Imatra,,,,,,,,,
165,,DRAFT,Janakkala,Janakkala,Janakkala,,,,,,,,,
167,,DRAFT,Joensuu,Joensuu,Joensuu,,,,,,,,,
169,,DRAFT,Jokioinen,Jockis,Jokioinen,,,,,,,,,
170,,DRAFT,Jomala,Jomala,Jomala,,,,,,,,,
171,,DRAFT,Joroinen,Jorois,Joroinen,,,,,,,,,
172,,DRAFT,Joutsa,Joutsa,Joutsa,,,,,,,,,
176,,DRAFT,Juuka,Juuka,Juuka,,,,,,,,,
177,,DRAFT,Juupajoki,Juupajoki,Juupajoki,,,,,,,,,
178,,DRAFT,Juva,Jockas,Juva,,,,,,,,,
179,,DRAFT,Jyväskylä,Jyväskylä,Jyväskylä,,,,,,,,,
181,,DRAFT,Jämijärvi,Jämijärvi,Jämijärvi,,,,,,,,,
182,,DRAFT,Jämsä,Jämsä,Jämsä,,,,,,,,,
186,,DRAFT,Järvenpää,Träskända,Järvenpää,,,,,,,,,
202,,DRAFT,Kaarina,St Karins,Kaarina,,,,,,,,,
204,,DRAFT,Kaavi,Kaavi,Kaavi,,,,,,,,,
205,,DRAFT,Kajaani,Kajana,Kajaani,,,,,,,,,
208,,DRAFT,Kalajoki,Kalajoki,Kalajoki,,,,,,,,,
211,,DRAFT,Kangasala,Kangasala,Kangasala,,,,,,,,,
213,,DRAFT,Kangasniemi,Kangasniemi,Kangasniemi,,,,,,,,,
214,,DRAFT,Kankaanpää,Kankaanpää,Kankaanpää,,,,,,,,,
216,,DRAFT,Kannonkoski,Kannonkoski,Kannonkoski,,,,,,,,,
217,,DRAFT,Kannus,Kannus,Kannus,,,,,,,,,
218,,DRAFT,Karijoki,Bötom,Karijoki,,,,,,,,,
224,,DRAFT,Karkkila,Högfors,Karkkila,,,,,,,,,
226,,DRAFT,Karstula,Karstula,Karstula,,,,,,,,,
230,,DRAFT,Karvia,Karvia,Karvia,,,,,,,,,
231,,DRAFT,Kaskinen,Kaskö,Kaskinen,,,,,,,,,
232,,DRAFT,Kauhajoki,Kauhajoki,Kauhajoki,,,,,,,,,
233,,DRAFT,Kauhava,Kauhava,Kauhava,,,,,,,,,
235,,DRAFT,Kauniainen,Grankulla,Kauniainen,,,,,,,,,
236,,DRAFT,Kaustinen,Kaustby,Kaustinen,,,,,,,,,
239,,DRAFT,Keitele,Keitele,Keitele,,,,,,,,,
240,,DRAFT,Kemi,Kemi,Kemi,,,,,,,,,
241,,DRAFT,Keminmaa,Keminmaa,Keminmaa,,,,,,,,,
244,,DRAFT,Kempele,Kempele,Kempele,,,,,,,,,
245,,DRAFT,Kerava,Kervo,Kerava,,,,,,,,,
249,,DRAFT,Keuruu,Keuruu,Keuruu,,,,,,,,,
250,,DRAFT,Kihniö,Kihniö,Kihniö,,,,,,,,,
256,,DRAFT,Kinnula,Kinnula,Kinnula,,,,,,,,,
257,,DRAFT,Kirkkonummi,Kyrkslätt,Kirkkonummi,,,,,,,,,
260,,DRAFT,Kitee,Kitee,Kitee,,,,,,,,,
261,,DRAFT,Kittilä,Kittilä,Kittilä,,,,,,,,,
263,,DRAFT,Kiuruvesi,Kiuruvesi,Kiuruvesi,,,,,,,,,
265,,DRAFT,Kivijärvi,Kivijärvi,Kivijärvi,,,,,,,,,
271,,DRAFT,Kokemäki,Kumo,Kokemäki,,,,,,,,,
272,,DRAFT,Kokkola,Karleby,Kokkola,,,,,,,,,
273,,DRAFT,Kolari,Kolari,Kolari,,,,,,,,,
275,,DRAFT,Konnevesi,Konnevesi,Konnevesi,,,,,,,,,
276,,DRAFT,Kontiolahti,Kontiolahti,Kontiolahti,,,,,,,,,
280,,DRAFT,Korsnäs,Korsnäs,Korsnäs,,,,,,,,,
284,,DRAFT,Koski Tl,Koski Åbo l,Koski Tl,,,,,,,,,
285,,DRAFT,Kotka,Kotka,Kotka,,,,,,,,,
286,,DRAFT,Kouvola,Kouvola,Kouvola,,,,,,,,,
287,,DRAFT,Kristiinankaupunki,Kristinestad,Kristinestad,,,,,,,,,
288,,DRAFT,Kruunupyy,Kronoby,Kronoby,,,,,,,,,
290,,DRAFT,Kuhmo,Kuhmo,Kuhmo,,,,,,,,,
291,,DRAFT,Kuhmoinen,Kuhmoinen,Kuhmoinen,,,,,,,,,
295,,DRAFT,Kumlinge,Kumlinge,Kumlinge,,,,,,,,,
297,,DRAFT,Kuopio,Kuopio,Kuopio,,,,,,,,,
300,,DRAFT,Kuortane,Kuortane,Kuortane,,,,,,,,,
301,,DRAFT,Kurikka,Kurikka,Kurikka,,,,,,,,,
304,,DRAFT,Kustavi,Gustavs,Kustavi,,,,,,,,,
305,,DRAFT,Kuusamo,Kuusamo,Kuusamo,,,,,,,,,
309,,DRAFT,Outokumpu,Outokumpu,Outokumpu,,,,,,,,,
312,,DRAFT,Kyyjärvi,Kyyjärvi,Kyyjärvi,,,,,,,,,
316,,DRAFT,Kärkölä,Kärkölä,Kärkölä,,,,,,,,,
317,,DRAFT,Kärsämäki,Kärsämäki,Kärsämäki,,,,,,,,,
318,,DRAFT,Kökar,Kökar,Kökar,,,,,,,,,
320,,DRAFT,Kemijärvi,Kemijärvi,Kemijärvi,,,,,,,,,
322,,DRAFT,Kemiönsaari,Kimitoön,Kimitoön,,,,,,,,,
398,,DRAFT,Lahti,Lahtis,Lahti,,,,,,,,,
399,,DRAFT,Laihia,Laihela,Laihia,,,,,,,,,
400,,DRAFT,Laitila,Laitila,Laitila,,,,,,,,,
402,,DRAFT,Lapinlahti,Lapinlahti,Lapinlahti,,,,,,,,,
403,,DRAFT,Lappajärvi,Lappajärvi,Lappajärvi,,,,,,,,,
405,,DRAFT,Lappeenranta,Villmanstrand,Lappeenranta,,,,,,,,,
407,,DRAFT,Lapinjärvi,Lappträsk,Lapinjärvi,,,,,,,,,
