CODEVALUE,ID,STATUS,NOTATION,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
v2001,,VALID,KR1,Kansalaiset,Medborgare,Citizens,,,,,,,,,,,
v2002,,VALID,KR1.1,Ikäihmiset,De äldre,Seniors,,,,,,,,,,,
v2003,,VALID,KR1.2,Lapset ja lapsiperheet,Barn och barnfamiljer,Children and families with children,,,,,,,,,,,
v2004,,VALID,KR1.3,Nuoret,De unga,Young people,,,,,,,,,,,
v2005,,VALID,KR1.4,Pitkäaikaissairaat,Långtidssjuka,People with long-term illnesses,,,,,,,,,,,
v2006,,VALID,KR1.5,Ulkosuomalaiset,Utlandsfinländare,Expatriate Finns,,,,,,,,,,,
v2007,,VALID,KR1.6,Vammaiset,Handikappade,Disabled people,,,,,,,,,,,
v2008,,VALID,KR2,Yritykset ja yhteisöt,Företag och samfund,Businesses and non-government organizations,,,,,,,,,,,
v2009,,VALID,KR2.1,Kansainvälistyvät yritykset,Internationalisering av företag,Businesses going international,,,,,,,,,,,
v2010,,VALID,KR2.2,Keksijät,Uppfinnare,Inventors,,,,,,,,,,,
v2011,,VALID,KR2.3,Kotimarkkinoilla toimivat yritykset,Företag på den inhemska marknaden,Businesses operating in the domestic (Finnish) market,,,,,,,,,,,
v2012,,VALID,KR2.4,Suomeen ulkomailta tulevat yrittäjät,Utländska entreprenörer i Finland,Foreign entrepreneurs in Finland,,,,,,,,,,,
v2013,,VALID,KR2.5,Suuryritykset,Storföretag,Large companies,,,,,,,,,,,
v2014,,VALID,KR2.6,Työnantajat,Arbetsgivare,Employers,,,,,,,,,,,
v2015,,VALID,KR2.7,Yhdistykset ja järjestöt,Föreningar och organisationer,Non-government organizations,,,,,,,,,,,
v2016,,VALID,KR2.8,Yrityksen perustajat kotimaassa,Inhemska företagsgrundare,Finnish startups,,,,,,,,,,,
v2017,,VALID,KR3,Viranomaiset,Myndigheter,Authorities,,,,,,,,,,,
