CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
aa,,VALID,Afar,afar,,,,,,,,,,
ab,,VALID,Abkhazian,abhaasi,,,,,,,,,,
ace,,VALID,Achinese,atšeh,,,,,,,,,,
ach,,VALID,Acoli,atšoli,,,,,,,,,,
ada,,VALID,Adangme,adangme,,,,,,,,,,
ady,,VALID,Adyghe,adyge,,,,,,,,,,
ae,,VALID,Avestan,avesta,,,,,,,,,,
aeb,,VALID,Tunisian Arabic,tunisianarabia,,,,,,,,,,
af,,VALID,Afrikaans,afrikaans,,,,,,,,,,
afh,,VALID,Afrihili,afrihili,,,,,,,,,,
agq,,VALID,Aghem,aghem,,,,,,,,,,
ain,,VALID,Ainu,ainu,,,,,,,,,,
ak,,VALID,Akan,akan,,,,,,,,,,
akk,,VALID,Akkadian,akkadi,,,,,,,,,,
akz,,VALID,Alabama,alabama,,,,,,,,,,
ale,,VALID,Aleut,aleutti,,,,,,,,,,
alt,,VALID,Southern Altai,altai,,,,,,,,,,
am,,VALID,Amharic,amhara,,,,,,,,,,
an,,VALID,Aragonese,aragonia,,,,,,,,,,
ang,,VALID,Old English,muinaisenglanti,,,,,,,,,,
anp,,VALID,Angika,angika,,,,,,,,,,
ar,,VALID,Arabic,arabia,,,,,,,,,,
ar_001,,VALID,Modern Standard Arabic,yleisarabia,,,,,,,,,,
arc,,VALID,Aramaic,valtakunnanaramea,,,,,,,,,,
arn,,VALID,Mapuche,mapudungun,,,,,,,,,,
aro,,VALID,Araona,araona,,,,,,,,,,
arp,,VALID,Arapaho,arapaho,,,,,,,,,,
arq,,VALID,Algerian Arabic,algerianarabia,,,,,,,,,,
arw,,VALID,Arawak,arawak,,,,,,,,,,
ary,,VALID,Moroccan Arabic,marokonarabia,,,,,,,,,,
arz,,VALID,Egyptian Arabic,egyptinarabia,,,,,,,,,,
as,,VALID,Assamese,assami,,,,,,,,,,
asa,,VALID,Asu,asu,,,,,,,,,,
ase,,VALID,American Sign Language,amerikkalainen viittomakieli,,,,,,,,,,
ast,,VALID,Asturian,asturia,,,,,,,,,,
av,,VALID,Avaric,avaari,,,,,,,,,,
awa,,VALID,Awadhi,awadhi,,,,,,,,,,
avk,,VALID,Kotava,kotava,,,,,,,,,,
ay,,VALID,Aymara,aimara,,,,,,,,,,
az,,VALID,Azerbaijani,azeri,,,,,,,,,,
az-short,,VALID,Azeri,azeri,,,,,,,,,,
ba,,VALID,Bashkir,baškiiri,,,,,,,,,,
bal,,VALID,Baluchi,belutši,,,,,,,,,,
ban,,VALID,Balinese,bali,,,,,,,,,,
bar,,VALID,Bavarian,baijeri,,,,,,,,,,
bas,,VALID,Basaa,basaa,,,,,,,,,,
bax,,VALID,Bamun,bamum,,,,,,,,,,
bbc,,VALID,Batak Toba,batak-toba,,,,,,,,,,
bbj,,VALID,Ghomala,ghomala,,,,,,,,,,
be,,VALID,Belarusian,valkovenäjä,,,,,,,,,,
bej,,VALID,Beja,bedža,,,,,,,,,,
bem,,VALID,Bemba,bemba,,,,,,,,,,
bew,,VALID,Betawi,betawi,,,,,,,,,,
bez,,VALID,Bena,bena,,,,,,,,,,
bfd,,VALID,Bafut,fut,,,,,,,,,,
bfq,,VALID,Badaga,badaga,,,,,,,,,,
bg,,VALID,Bulgarian,bulgaria,,,,,,,,,,
bgn,,VALID,Western Balochi,länsibelutši,,,,,,,,,,
bho,,VALID,Bhojpuri,bhodžpuri,,,,,,,,,,
bi,,VALID,Bislama,bislama,,,,,,,,,,
bik,,VALID,Bikol,bikol,,,,,,,,,,
