CODEVALUE,ID,VERSION,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,CHANGENOTE_FI,CHANGENOTE_SV,CHANGENOTE_EN,STARTDATE,ENDDATE,SOURCE,LEGALBASE,GOVERNANCEPOLICY,LICENSE
tilat,,v1,VALID,Tila,Status,Status,ISO 19135-1 -standardiluonnoksen mukaiset tilanimet.,Status tagna ifrån utkast ISO 19135-1.,These status are taken from the draft ISO 19135-1.,,,,,,,2017-01-01,,,,,
palveluluokitukset,,v1,VALID,Palveluluokitus,,Service classification,,,,,,,,,,2017-01-01,,,,,
kunnat2017,,v1,VALID,Kunnat 2017,,Municipalities 2017,,,,,,,,,,2017-01-01,,,,,
sukupuolet,,v1,VALID,Sukupuoli,Kön,Sex,,,,,,,,,,2017-01-01,,,,,
suojaustasot,,v1,VALID,Suojaustaso,,Security classification,,,,,,,,,,2017-01-01,,,,,
kielikoodit,,v1,VALID,Kielikoodit,,Language codes,,,,,,,,,,2017-01-01,,,,,
elamantilanteet,,v1,VALID,Elämäntilanteet,,Life situations,,,,,,,,,,2017-01-01,,,,,
tuottajatyypit,,v1,VALID,Tuottajatyypit,,Producer types,,,,,,,,,,2017-01-01,,,,,
kohderyhmat,,v1,VALID,Kohderyhmät,,Target groups,,,,,,,,,,2017-01-01,,,,,
tuotantotavat,,v1,VALID,Tuotantotavat,,Production mechanisms,,,,,,,,,,2017-01-01,,,,,
