ID,LOCALNAME,CONTEXT,URI,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,VALUETYPE
9e6b738c-e4be-11e7-9d91-b36cf669b046,link,ExternalReference,http://purl.org/dc/terms/relation/,Muu linkki,,Other link,Linkki ulkopuoliseen resurssiin.,,A link to the related resource.,
a40fadb2-e4be-11e7-b775-ef8f3dee2d0e,source,ExternalReference,http://purl.org/dc/terms/source/,Lähde,,Source,Liittyvä resurssi jota on käytetty lähteenä.,,A related resource from which the described resource is derived.,
a807461e-e4be-11e7-9cf2-bf74dc97e66b,instructions,ExternalReference,http://purl.org/dc/terms/instructionalMethod/,Käyttöohje,,Instructions,Viittaus käyttöohjeeseen jossa on kuvattu koodiston ja koodien käyttötarkoitus.,,"Reference to a document that describes a process that is used to engender knowledge, attitudes, and skills.",
aa9e0e58-e4be-11e7-86f5-db4ae2fc3d3b,standard,ExternalReference,http://purl.org/dc/terms/conformsTo/,Liittyvä standardi,,Standard,Liittyvä standardi tai suositus.,,An established standard to which the described resource conforms.,
ad51ba6e-e4be-11e7-a243-efbae0d077a2,isReferencedBy,ExternalReference,http://purl.org/dc/terms/isReferencedBy/,Käyttökohde,,Is referenced by,"Liittyvä palvelu, sovellus tai verkkosivu, jossa on viitattu koodistoon.",,"A related resource that references, cites, or otherwise points to the described resource.",
afe20356-e4be-11e7-a47c-33e62d1303e4,isRequiredBy,ExternalReference,http://purl.org/dc/terms/isRequiredBy/,Käyttöedellytys,,Is required by,Liittyvä sovellus tai rajapinta jossa koodiston käyttöä on edellytetty.,,"A related resource that requires the described resource to support its function, delivery, or coherence.",
b568015e-e4be-11e7-97e2-e75d9bd2e46f,license,ExternalReference,http://purl.org/dc/terms/license/,Lisenssi,,License,Viittaus viralliseen lisenssidokumenttiin.,,A legal document giving official permission to do something with the resource.,
e028725c-9276-4943-9bc9-565e6544961d,definitionHierarchy,Extension,http://uri.suomi.fi/datamodel/ns/code#definitionHierarchy,Määrityshierarkia,,Definition hierarchy,,,,
4b1aad3b-d390-44d9-ae07-912b7eeddaf3,calculationHierarchy,Extension,http://uri.suomi.fi/datamodel/ns/code#calculationHierarchy,Laskentahierarkia,,Calculation hierarchy,,,,unaryOperator;comparisonOperator
ecd65ce5-28d7-438d-bf92-0082f243676e,crossReference,Extension,http://uri.suomi.fi/datamodel/ns/code#crossReference,Koodiliitos,,Cross referencing,,,,
